Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT,Odd_H_Asi,Asian_Line,Odd_A_Asi,Goals_H_FT,Goals_A_FT
2025-09-10,13:00,Finland Suomen Cup  ,KuPs,Jaro,11.829999999999998,-3.639999999999997,0.5219743580951468,1.2261166951190767,0.3152034835041818,1.340611686507284,1.1072061476453654,1.38,4.5,6.5,0.9109132116148948,0.2334055388619187,Home,Home,1.0,1.5,0.8,2,0
2025-09-10,14:30,Uruguay Cup  ,Racing Club Montevideo,Boston River,3.810000000000004,-20.84,0.289780076038675,1.1784413937149705,-1.4067602529292305,0.0016627247868632,0.8950776795703603,2.7,3.2,2.7,2.585201646644201,0.8934149547834971,Home,Away,0.83,0/-0.5,0.98,0,0
2025-09-10,16:30,Ecuador Campeonato Serie B  ,Atletico Vinotinto,CD Vargas Torres,16.25,17.5,0.5674868013652159,-0.4475147048911497,-0.2458743469184559,-2.896404247350872,0.8567147510891169,1.7,3.3,4.75,0.2016403579726938,3.7531189984399886,Away,Away,0.85,0.5,0.95,0,0
2025-09-10,16:30,Ecuador Campeonato Serie B  ,22 de Julio,Chacaritas SC,8.75,58.75,0.1176182311592532,-0.8030680606036747,0.1136064534293664,-1.6533492795002256,-0.6576717162923673,1.57,3.7,4.75,0.9166745140330412,0.9956775632078584,Away,Away,0.9,0.5/1,0.9,1,1
2025-09-10,18:00,Copa do Brasil  ,Fluminense RJ,Bahia,1.7699999999999951,17.700000000000003,0.5423274481992891,-0.604740139601872,0.0956045001371796,0.4589134623934203,0.5159674626158567,2.0,3.4,3.75,0.7003446397390517,0.0570540002224363,Away,Away,0.95,0.5,0.85,2,0
2025-09-10,18:00,Colombia Primera B  ,Inter Palmira,Leones,-3.7000000000000064,15.669999999999996,0.3819826805075148,0.2860991473342776,-0.3946487744324295,0.2955365711581514,-1.4837883589957783,1.42,4.1,6.25,0.6807479217667072,1.77932493015393,Home,Home,0.93,1,0.88,1,0
2025-09-10,19:30,Uruguay Cup  ,CA Penarol,Liverpool URU,5.2700000000000005,2.8099999999999987,0.3862100924948257,0.2630996810858205,-0.0984378159138427,0.999190349277418,0.7558598773904355,2.0,3.4,3.4,0.3615374969996633,0.2433304718869824,Home,Home,1.03,0.5,0.78,2,1
2025-09-10,20:00,Ecuador Campeonato Serie B  ,SC Imbabura,Cumbaya FC,-9.099999999999998,0.0,0.3198398173448233,-0.3429634858056452,-0.5064979271706267,-1.454470534562756,-0.1383191256597646,1.91,3.1,3.9,0.1635344413649814,1.316151408902991,Home,Away,0.8,0.5,1.0,0,0
2025-09-10,20:30,Copa do Brasil  ,Corinthians Paulista (SP),Atletico Paranaense,-48.75,-10.669999999999996,0.818610988359357,-1.7216137554667512,0.509125535697889,-0.1088131067504989,0.3420008725112138,1.91,3.2,4.75,2.23073929116464,0.4508139792617127,Away,Away,1.0,0.5/1,0.8,2,0
2025-09-10,20:30,Categoria Primera A  ,Millonarios,Deportivo Pasto,1.6099999999999954,-1.6800000000000046,0.3997544887387781,-0.9947656970367624,-0.6497779070066865,-0.1920096366921184,-0.9826604482786626,1.57,3.7,5.75,0.344987790030076,0.7906508115865442,Away,Home,0.75,0.5/1,1.05,1,0
2025-09-10,21:00,USL Championship  ,New Mexico United,Detroit City,-6.08,3.6000000000000014,0.3404376656132278,-0.3521093413345867,-0.7006283048544412,0.3756140904753957,-0.1191935126782419,2.3,3.2,2.9,0.3485189635198544,0.4948076031536376,Home,Home,1.03,0/0.5,0.78,4,0
