Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT,Goals_H_FT,Goals_A_FT
2703402,2025-10-06,13:00,Sweden Superettan  ,Landskrona BoIS,Varbergs BoIS FC,2.7,3.4,2.45,1.0,0,0.8,1.8,2.5,2.0,H,13.0,13.0,0.6153846153846154,-6.890000000000001,-0.1538461538461538,0.0,0.6153846153846154,13.799999999999994,0.3552248097226855,-0.2307692307692307,8.470000000000002,0.3552248097226855,-6.890000000000001,5.329999999999991,0.710449619445371,-1.796106803597987,-0.0561014918920856,0.3866800534381208,0.5707616635000159,2.182786857036108,0.6268631553921015,Away,Away,2.0,1.0
2703406,2025-10-06,13:00,Sweden Superettan  ,Sandvikens IF,Orgryte,3.7,3.6,1.83,1.0,-0.5,0.8,1.78,3,2.03,A,13.0,13.0,0.3846153846153846,8.470000000000002,0.1538461538461538,-2.31,0.3846153846153846,8.470000000000002,0.1516622361413138,0.0,29.200000000000003,0.2537781703934222,10.780000000000005,-20.73,0.405440406534736,1.303429535852347,0.8333506022505154,0.8460984217113648,0.3376413950192189,0.4573311141409825,0.4957092072312964,Home,Home,1.0,1.0
2871578,2025-10-06,14:00,Holland Eerste Divisie  ,Vitesse Arnhem,Den Bosch,2.85,3.75,2.15,0.98,0/-0.5,0.83,1.88,3,1.93,A,4.0,5.0,-0.5,10.0,0.2,12.0,-0.5,10.0,0.0945286548008661,-0.4,20.0,0.1500357088201714,-2.0,-10.0,0.2445643636210375,-0.0881697746275877,0.1283224962024895,1.1242109132102418,0.1299052161987845,1.2123806878378296,0.0015827199962949,Away,Away,1.0,2.0
2876949,2025-10-06,16:25,Colombia Primera B  ,Atletico Huila,Barranquilla FC,1.53,3.7,7.0,0.8,1,1.0,1.83,2/2.5,1.98,D,17.0,11.0,0.7058823529411765,4.700000000000003,-0.8181818181818182,-3.6000000000000014,0.8823529411764706,10.6,0.1517610069469123,-0.8181818181818182,8.190000000000001,0.2800877556899882,8.300000000000004,2.4099999999999984,0.4318487626369005,0.5315585734287646,1.4038910912691591,-1.776783149920821,-1.712660409901186,2.308341723349586,3.116551501170345,Home,Home,3.0,2.0
2837849,2025-10-06,17:30,Primera Division de Paraguay  ,General Caballero LJM,FC Nacional Asuncion,3.5,3.3,2.05,0.8,0/-0.5,1.0,2.0,2/2.5,1.8,H,17.0,18.0,-0.3529411764705882,21.759999999999994,-0.2777777777777778,19.99,-0.3529411764705882,22.34,0.184809825547528,-0.1111111111111111,0.5399999999999979,0.2799923761135083,1.769999999999996,21.8,0.4648022016610363,0.8260572325549719,0.646446390806256,1.2247002205629474,-0.3328006206332883,0.3986429880079755,0.9792470114395444,Away,Home,1.0,1.0
2883323,2025-10-06,17:30,Copa LFPB  ,Real Oruro,Academia del Balompie Boliviano,2.2,3.5,2.8,0.88,0,0.93,1.8,2.5,2.0,A,11.0,11.0,0.3636363636363636,23.599999999999994,-1.0,-3.6000000000000014,0.4545454545454545,5.5,0.2800877556899882,-1.0,17.229999999999993,0.3126695474501863,27.2,-11.729999999999992,0.5927573031401745,1.4102414258642608,-0.0439423861341492,0.026099732744009,1.9509090344009767,1.3841416931202517,1.994851420535126,Home,Away,1.0,1.0
2776216,2025-10-06,18:00,Argentine Division 1  ,Deportivo Riestra,Velez Sarsfield,3.3,3.0,2.32,0.73,0,1.08,2.0,2,1.8,H,13.0,13.0,0.1538461538461538,6.94,-0.2307692307692307,0.0,0.0,41.52,0.0889400396289613,-0.4615384615384615,3.0799999999999974,0.3195073356553728,6.94,38.440000000000005,0.4084473752843341,0.8792399095052069,2.044373208351349,-1.0148125276611646,-0.2914717050622106,1.8940524371663716,2.3358449134135597,Home,Home,2.0,2.0
2882392,2025-10-06,18:00,Uruguay Primera Division  ,Defensor Sporting Montevideo,Wanderers FC,1.91,3.2,4.1,0.98,0.5,0.83,2.05,2/2.5,1.75,H,16.0,16.0,0.5625,0.5999999999999988,-0.375,-9.99,0.75,28.8,0.2138050993040052,-0.6875,-2.5,0.2480922525974644,10.59,31.3,0.4618973519014696,0.5456802696701758,1.0050535670202785,-0.7300777839311676,0.2802365477805015,1.2757580536013435,0.7248170192397767,Home,Home,2.0,1.0
2876948,2025-10-06,18:30,Colombia Primera B  ,Tigres Zipaquira,Patriotas FC,4.2,3.4,1.85,0.95,-0.5,0.85,1.93,2,1.88,D,16.0,15.0,0.125,17.5,-0.1333333333333333,1.309999999999997,-0.0625,22.5,0.1381178398973613,-0.0666666666666666,17.33,0.1517610069469123,16.190000000000005,5.170000000000002,0.2898788468442735,2.170910376680607,2.085289136244145,0.232879610864378,1.326625778030041,1.9380307658162288,0.7586633582141038,Home,Home,2.0,3.0
2710516,2025-10-06,19:00,Argentine Division 2  ,All Boys,Los Andes,2.25,2.75,3.9,0.75,0/0.5,1.05,1.78,1.5,2.03,D,16.0,16.0,0.3125,-6.200000000000001,-0.875,11.86,0.5625,9.399999999999997,0.1982422808259466,-1.0,-2.5,0.2799923761135083,-18.06,11.899999999999997,0.4782346569394549,-0.1018811085916829,0.1069920390841029,0.0290715104652106,-0.5264076536344957,0.1309526190568935,0.6333996927185986,Away,Home,3.0,0.0
