,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Diff_Power,M_H,M_A,p_home,p_draw,p_away,EV_Home,EV_Draw,EV_Away,Bet_Indicator
0,2025-09-12,06:00,Chinese Super League  ,Shanghai Port,Yunnan Yukun,1.25,6.5,9,-9.880000000000004,-1.269650880718912,0.5271615628121664,0.44,0.5366666666666666,0.023333333333333334,-0.44999999999999996,2.4883333333333333,-0.79,⚪ Back Draw
1,2025-09-12,06:00,J1 League  ,Vissel Kobe,Kashiwa Reysol,2.2,3.25,3.3,-9.26,0.2241359306169393,1.8757578798116707,0.5566666666666666,0.16333333333333333,0.28,0.2246666666666668,-0.46916666666666673,-0.07599999999999996,🟢 Back Home
2,2025-09-12,06:00,J1 League  ,Hiroshima Sanfrecce,Kyoto Sanga,1.8,3.75,4.1,-23.64,0.2783051630468834,2.213394083031948,0.7466666666666667,0.17333333333333334,0.08,0.3440000000000001,-0.35,-0.672,🟢 Back Home
3,2025-09-12,06:00,J1 League  ,Machida Zelvia,Yokohama FC,1.57,4.1,5.5,26.72,-0.3385723068314393,-1.3818869556400817,0.7966666666666666,0.09333333333333334,0.11,0.2507666666666666,-0.6173333333333333,-0.395,🟢 Back Home
4,2025-09-12,07:35,Chinese Super League  ,Henan Football Club,Beijing Guoan,2.88,3.6,2.3,-15.329999999999998,-0.8585811574714526,0.9115599972334554,0.30666666666666664,0.19666666666666666,0.49666666666666665,-0.11680000000000013,-0.29200000000000004,0.1423333333333332,🟠 Back Away
5,2025-09-12,07:35,Chinese Super League  ,Chengdu Rongcheng FC,Changchun Yatai,1.13,8,19,-10.309999999999995,-0.3310561637902516,-0.5424538654843609,0.5333333333333333,0.45,0.016666666666666666,-0.3973333333333334,2.6,-0.6833333333333333,⚪ Back Draw
6,2025-09-12,08:00,Chinese Super League  ,Shanghai Shenhua,Shandong Taishan,1.42,4.5,7,-8.190000000000001,-0.141915107197052,-0.551280582068676,0.6533333333333333,0.30666666666666664,0.04,-0.0722666666666667,0.3799999999999999,-0.72,⚪ Back Draw
7,2025-09-12,12:00,Lithuania - 1.Division  ,Suduva,FK Panevezys,1.83,3.5,3.75,38.400000000000006,1.8174938350814864,-0.9485178962030508,0.68,0.22666666666666666,0.09333333333333334,0.24440000000000017,-0.20666666666666667,-0.6499999999999999,🟢 Back Home
8,2025-09-12,13:00,Lithuania - 1.Division  ,Dziugas Telsiai,DFK Dainava Alytus,1.67,3.8,4.33,-7.700000000000006,0.3696889434542311,-0.5834153553084451,0.8266666666666667,0.07666666666666666,0.09666666666666666,0.38053333333333317,-0.7086666666666668,-0.5814333333333334,🟢 Back Home
9,2025-09-12,13:00,Norway Eliteserien  ,Bodo Glimt,Kristiansund BK,1.13,9,13,3,0.8015906372288345,-0.5211749931383008,0.4766666666666667,0.49333333333333335,0.03,-0.4613666666666667,3.4400000000000004,-0.61,⚪ Back Draw
10,2025-09-12,13:30,Argentine Division 1  ,Deportivo Riestra,Central Cordoba SDE,2.5,2.9,3.2,29.969999999999995,1.75646751821517,-0.4191665795103818,0.6433333333333333,0.21333333333333335,0.14333333333333334,0.6083333333333334,-0.3813333333333333,-0.5413333333333332,🟢 Back Home
11,2025-09-12,14:00,Peru Primera Division  ,UTC Cajamarca,Ayacucho Futbol Club,2.1,3.2,3.4,-27.530000000000005,-0.0206578643008414,0.919555536843398,0.6433333333333333,0.22,0.13666666666666666,0.351,-0.29599999999999993,-0.5353333333333334,🟢 Back Home
12,2025-09-12,14:45,Ireland First Division  ,Dundalk,Bray Wanderers,1.5,4.33,5,-6.599999999999994,-0.1663685306280961,0.8719810779697525,0.6966666666666667,0.2866666666666667,0.016666666666666666,0.04499999999999993,0.24126666666666674,-0.9166666666666666,⚪ Back Draw
13,2025-09-12,14:45,Ireland First Division  ,Cobh Ramblers,Treaty United,1.38,4.75,6.5,23.96,0.7437402138837329,-0.1475328010170077,0.5533333333333333,0.38666666666666666,0.06,-0.23640000000000005,0.8366666666666667,-0.61,⚪ Back Draw
14,2025-09-12,14:45,Ireland First Division  ,UC Dublin,Longford Town,1.62,3.9,4.75,-14.23,-1.4669268003337443,0.568922905513755,0.6633333333333333,0.28,0.056666666666666664,0.0746,0.09200000000000008,-0.7308333333333333,⚪ Back Draw
15,2025-09-12,14:45,Ireland Premier Division  ,Bohemians,Derry City,2.15,3.2,3.3,9.27,1.0447813154515837,0.5432815753210823,0.20333333333333334,0.45,0.3466666666666667,-0.5628333333333333,0.44000000000000017,0.1439999999999999,⚪ Back Draw
16,2025-09-12,15:00,Bolivia Primera Division  ,Universitario De Vinto,Real Tomayapo,1.8,3.5,3.9,18.1,0.1629201289583861,-0.213983845888368,0.8333333333333334,0.05333333333333334,0.11333333333333333,0.5,-0.8133333333333334,-0.558,🟢 Back Home
17,2025-09-12,15:30,Primera Division de Paraguay  ,Atletico Tembetary,Sportivo Ameliano,3.5,3.1,2.15,-16.28,-1.5517851950083568,-0.4275835680878074,0.4633333333333333,0.23666666666666666,0.3,0.6216666666666666,-0.2663333333333333,-0.3550000000000001,🟢 Back Home
18,2025-09-12,16:15,Peru Primera Division  ,Sport Huancayo,Los Chankas,1.57,3.9,6,-5.819999999999999,1.024928066110159,1.576044996642059,0.5733333333333334,0.38,0.04666666666666667,-0.09986666666666655,0.482,-0.72,⚪ Back Draw
