Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2797159,2025-10-06,10:30,Romania Liga I  ,FC Otelul Galati,Metaloglobus,1.45,4.1,6.5,0.85,1,0.95,1.95,2.5,1.85,D,6.0,5.0,-0.1666666666666666,31.67,-1.0,0.0,-0.1666666666666666,26.700000000000003,0.0967693325592168,-1.0,26.0,0.565508505247919,31.67,0.7000000000000028,0.6622778378071358,,,-0.7728613783592635,0.5852358312171427,,,Even,Even
2703402,2025-10-06,13:00,Sweden Superettan  ,Landskrona BoIS,Varbergs BoIS FC,2.7,3.4,2.45,1.0,0,0.8,1.8,2.5,2.0,D,12.0,12.0,0.6666666666666666,-6.700000000000006,-0.1666666666666666,0.7999999999999936,0.6666666666666666,10.0,0.3195073356553728,-0.25,12.489999999999997,0.3195073356553728,-7.5,-2.4899999999999967,0.6390146713107456,-1.8079681802149261,-0.08832263667361076,0.40568002878010007,0.5590625751171584,2.2136482089950262,0.6473852117907691,Away,Away
2703406,2025-10-06,13:00,Sweden Superettan  ,Sandvikens IF,Orgryte,3.7,3.6,1.83,1.0,-0.5,0.8,1.78,3,2.03,A,12.0,12.0,0.5,4.19,0.0833333333333333,0.7999999999999936,0.5,4.19,0.1681775812035096,-0.0833333333333333,35.0,0.2800877556899882,3.390000000000007,-30.81,0.4482653368934978,1.3012648037016106,0.8057840618808744,0.8645944658355992,0.328663671971622,0.4366703378660114,0.4771203899092524,Home,Home
2797154,2025-10-06,13:30,Romania Liga I  ,FC Botosani,UTA Arad,2.2,3.2,3.2,0.95,0/0.5,0.85,1.98,2.5,1.83,D,6.0,5.0,0.3333333333333333,43.3,-0.8,26.0,0.3333333333333333,43.3,0.2999883213415286,-1.0,40.0,0.0362231609697874,17.299999999999997,3.299999999999997,0.336211482311316,2.0824504061746865,1.0606703838654619,,,,,Even,Even
2798685,2025-10-06,15:00,England League 2  ,Harrogate Town,Crewe Alexandra,3.1,3.7,2.1,0.88,0/-0.5,0.98,1.9,2/2.5,1.95,H,5.0,5.0,-0.2,-8.0,-0.2,32.0,-0.4,20.0,0.1176182311592532,-0.2,6.0,0.1176182311592532,-40.0,14.0,0.2352364623185064,-0.7071067811865476,,,,,,Even,Even
2876949,2025-10-06,16:25,Colombia Primera B  ,Atletico Huila,Barranquilla FC,1.53,3.7,7.0,0.8,1,1.0,1.83,2/2.5,1.98,D,17.0,11.0,0.7058823529411765,4.700000000000003,-0.8181818181818182,-3.6000000000000014,0.8823529411764706,10.6,0.1517610069469123,-0.8181818181818182,8.190000000000001,0.2800877556899882,8.300000000000004,2.4099999999999984,0.43184876263690053,0.5256379822868318,1.377618368651708,-1.7546691167408142,-1.716645249511697,2.280307099027646,3.094263618163405,Home,Home
2837849,2025-10-06,17:30,Primera Division de Paraguay  ,General Caballero LJM,FC Nacional Asuncion,3.5,3.3,2.05,0.8,0/-0.5,1.0,2.0,2/2.5,1.8,H,17.0,18.0,-0.3529411764705882,21.759999999999994,-0.2777777777777778,19.99,-0.3529411764705882,22.34,0.184809825547528,-0.1111111111111111,0.5399999999999979,0.2799923761135083,1.769999999999996,21.8,0.4648022016610363,0.826885118009574,0.6361877035738988,1.2051247642502207,-0.3308995240863363,0.37823964624064677,0.9670872276602351,Away,Home
2883323,2025-10-06,17:30,Copa LFPB  ,Real Oruro,Academia del Balompie Boliviano,2.2,3.5,2.8,0.88,0,0.93,1.8,2.5,2.0,A,11.0,11.0,0.3636363636363636,23.599999999999994,-1.0,-3.6000000000000014,0.4545454545454545,5.5,0.2800877556899882,-1.0,17.229999999999993,0.3126695474501863,27.199999999999996,-11.729999999999993,0.5927573031401745,1.4102414258642608,-0.04394238613414922,0.02609973274400908,1.9509090344009767,1.3841416931202517,1.994851420535126,Home,Away
2776216,2025-10-06,18:00,Argentine Division 1  ,Deportivo Riestra,Velez Sarsfield,3.3,3.0,2.32,0.73,0,1.08,2.0,2,1.8,H,13.0,13.0,0.1538461538461538,6.94,-0.2307692307692307,0.0,0.0,41.52,0.0889400396289613,-0.4615384615384615,3.0799999999999974,0.3195073356553728,6.94,38.440000000000005,0.4084473752843341,0.863650589710558,2.0676125602058617,-1.0438243576304447,-0.2824774743255625,1.9074749473410026,2.350090034531424,Home,Home
2882392,2025-10-06,18:00,Uruguay Primera Division  ,Defensor Sporting Montevideo,Wanderers FC,1.91,3.2,4.1,0.98,0.5,0.83,2.05,2/2.5,1.75,H,16.0,16.0,0.5625,0.5999999999999988,-0.375,-9.99,0.75,28.799999999999997,0.2138050993040052,-0.6875,-2.5,0.2480922525974644,10.59,31.299999999999997,0.46189735190146963,0.5194755106214575,0.9838451568682139,-0.7073029049611387,0.28009712895267,1.2267784155825963,0.7037480279155439,Home,Home
2876948,2025-10-06,18:30,Colombia Primera B  ,Tigres Zipaquira,Patriotas FC,4.2,3.4,1.85,0.95,-0.5,0.85,1.93,2,1.88,D,16.0,15.0,0.125,17.5,-0.1333333333333333,1.309999999999997,-0.0625,22.5,0.1381178398973613,-0.0666666666666666,17.33,0.1517610069469123,16.190000000000005,5.170000000000002,0.28987884684427356,2.15493742809697,2.051060953774519,0.22457780631182364,1.314446618114247,1.9303596217851466,0.7366143356602721,Home,Home
2710516,2025-10-06,19:00,Argentine Division 2  ,All Boys,Los Andes,2.25,2.75,3.9,0.75,0/0.5,1.05,1.78,1.5,2.03,D,16.0,16.0,0.3125,-6.200000000000001,-0.875,11.86,0.5625,9.399999999999997,0.1982422808259466,-1.0,-2.5,0.2799923761135083,-18.060000000000002,11.899999999999997,0.4782346569394549,-0.12631954144463528,0.10916655669764405,0.04086139358324358,-0.5178071772727421,0.16718093502787887,0.6269737339703861,Away,Home
2776221,2025-10-06,20:00,Argentine Division 1  ,Racing Club,Independiente Rivadavia,1.68,3.5,5.25,0.8,0.5,1.0,1.75,2,2.05,A,14.0,14.0,0.8571428571428571,7.149999999999999,-0.7857142857142857,33.57,0.9285714285714286,2.899999999999995,0.1770944658123681,-0.8571428571428571,19.27,0.3537967768916372,-26.42,-16.370000000000005,0.5308912427040053,0.870991678619236,0.8423342503311746,1.8135502834904997,1.4888650993214674,0.9425586048712637,0.6465308489902928,Away,Away
2883324,2025-10-06,20:00,Copa LFPB  ,The Strongest,San Jose de Oruro,1.44,4.2,6.0,0.98,1.5,0.83,2.0,3.5,1.8,D,10.0,11.0,1.0,20.0,-0.9090909090909092,-0.8700000000000009,1.0,10.0,0.3967732199795652,-1.0,5.5,0.2127095754398804,20.87,4.5,0.6094827954194456,1.4134657154555037,0.6779145845029679,-0.020971941821233277,-1.4661518721308813,1.434437657276737,2.1440664566338494,Home,Home
2815645,2025-10-06,20:30,Categoria Primera A  ,La Equidad,Deportiva Once Caldas,3.4,3.2,2.15,1.05,0,0.75,1.83,2,1.98,D,16.0,18.0,0.0,-3.75,-0.7222222222222222,7.769999999999995,0.1875,-5.010000000000005,0.1634449073720273,-0.7222222222222222,4.399999999999995,0.2799923761135083,-11.519999999999996,-9.41,0.44343728348553557,-0.3997289001252651,-0.7024021770219677,-1.8787151725285443,-0.9682514033861488,1.4789862724032792,0.26584922636418107,Home,Home
