Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-08-06,Norway Adeccoligaen  ,Sogndal,Hodd,-11.70936508,-4.978253968,5.74,2,1,1.91,3.7,3.7
2025-08-06,Norway Adeccoligaen  ,Stabaek,Aalesund FK,5.572142857,-1.954642857,36.9,1,2,2.9,3.6,2.25
2025-08-06,Norway Adeccoligaen  ,Ranheim IL,Moss,-3.938888889,28.98361111,31.73,0,0,1.75,4,3.8
2025-08-06,Norway Adeccoligaen  ,Raufoss,Kongsvinger,19.78388889,27.29361111,-2.2,2,2,3.7,4.2,1.8
2025-08-06,Norway Adeccoligaen  ,Egersunds IK,Lillestrom,-13.54777778,-4.8575,47.32,0,2,6,5,1.4
2025-08-06,Norway Adeccoligaen  ,Asane Fotball,Lyn Oslo,-29.925,3.8375,25.7,0,2,2.6,3.6,2.5
2025-08-06,Norway Adeccoligaen  ,Start Kristiansand,Odd Grenland,-33.675,33.8375,30.7,2,0,1.75,4.2,3.9
2025-08-06,Norway Adeccoligaen  ,Skeid Oslo,Mjondalen IF,-11.97714286,8.934285714,8.4,1,2,1.9,3.7,3.6
2025-08-06,Bolivia Primera Division  ,San Antonio Bulo Bulo,Bolivar,17.04142857,17.04142857,5.61,0,1,3.5,3.8,1.83
2025-08-06,Peru Primera Division  ,Atletico Grau,Deportivo Garcilaso,-5.114444444,-23.79444444,-2.9,1,1,1.57,3.75,5.5
2025-08-06,Peru Primera Division  ,EM Deportivo Binacional,Alianza Atletico Sullana,-26.91,-23.88,-36,2,0,2.1,3.3,3.4
2025-08-06,USL Championship  ,Rhode Island,Detroit City,-33.28,-25.02,-37.9,1,0,1.8,3.9,3.75
2025-08-06,USL Championship  ,Hartford Athletic,Miami FC,-14.26333333,-4.273333333,-29.52,2,0,1.7,3.8,4.2
2025-08-06,USL Championship  ,Monterey Bay FC,FC Tulsa,-37.4375,-11.15,15.7,2,3,3.3,3.3,2.05
