Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Goals_H_FT,Goals_A_FT
2025-08-25,08:00,Chinese Super League  ,Beijing Guoan,Wuhan Three Towns,17.0,-7.0,0.4348249269475391,1.644772692303403,0.2081456569418679,-0.8385586952172873,-0.7032584689946413,1.36,5.5,7.0,,,,,
2025-08-25,10:30,Latvian Higher League  ,FK Liepaja,Super Nova,29.61,-13.989999999999998,0.406106519092114,0.8091512127056135,-1.18709683957303,-0.0339370726119652,2.050987936309711,1.27,4.75,9.5,,,,,
2025-08-25,11:00,Finland Veikkausliga  ,FC Haka,SJK Seinajoen,4.0,-23.0,0.7652528911229917,-2.098974070447301,-1.4878789855404273,-1.6408306924541172,-0.2560399369758553,3.7,3.9,1.75,,,,,
2025-08-25,12:00,Finland Veikkausliga  ,Gnistan Helsinki,AC Oulu,-4.900000000000004,4.769999999999995,0.6119857468040071,0.1582134261461807,1.562124557468085,0.0829610306967093,-0.5876961154620399,1.85,4.0,3.25,,,,,
2025-08-25,12:00,Lithuania - 1.Division  ,Siauliai,Suduva,14.29,13.599999999999994,0.9027231302037844,1.409040991875685,1.3270019660304215,0.94293759475306,0.397970394597502,2.05,3.4,3.0,,,,,
2025-08-25,13:00,Sweden Superettan  ,GIF Sundsvall,IK Oddevold,-16.08,-56.23,0.2887591798862525,0.1177625718262418,0.835767511110351,-0.5015282087696517,1.6457915405378536,2.25,3.25,2.88,,,,,
2025-08-25,13:00,Sweden Superettan  ,Trelleborgs FF,Landskrona BoIS,-25.57,-36.73,0.3298711080562568,-1.1098133848801426,-0.3456405350009538,-1.3025606083379064,-0.2142923583797249,2.4,3.4,2.6,,,,,
2025-08-25,13:00,Sweden Superettan  ,Falkenberg,Sandvikens IF,4.449999999999999,7.77,0.5332946914880592,0.7635585717646312,-0.0842518217722115,0.7484902021204191,-0.2590075515613307,2.0,3.4,3.3,,,,,
2025-08-25,13:00,Swedish Allsvenskan  ,GAIS,Mjallby AIF,-14.900000000000004,-32.230000000000004,0.6107384454034663,1.2093137977318795,0.9078058054074448,0.5664932891993233,2.186458554055396,2.25,3.4,3.1,,,,,
2025-08-25,13:00,Norway Eliteserien  ,Sarpsborg 08,Kristiansund BK,-35.27,-15.649999999999997,0.6599352020828915,-1.1826744020270896,,-0.3737670394595875,,1.6,4.5,4.75,,,,,
2025-08-25,13:00,Swedish Allsvenskan  ,Osters IF,IFK Norrkoping FK,3.3299999999999983,-11.200000000000005,0.3298711080562568,1.77417827817224,0.8570824144965314,-0.313480084663633,0.9700502736547998,2.38,3.5,2.8,,,,,
2025-08-25,13:00,Sweden Superettan  ,Orebro,Umea FC,35.56,-22.2,0.4554227752159436,1.2529879264971535,-2.018528299664904,-1.0626868256951698,-0.9774316553457998,1.83,3.7,3.6,,,,,
2025-08-25,14:00,Argentine Division 1  ,Deportivo Riestra,Sarmiento Junin,-5.0,20.0,0.1567321307886515,0.5941554214597137,-0.2676823332482586,1.80549276551764,0.4739912298661644,2.05,3.0,4.1,,,,,
2025-08-25,16:00,Argentine Division 1  ,Godoy Cruz Antonio Tomba,Velez Sarsfield,10.0,16.0,0.4348249269475391,0.6521254036865032,-1.3541542177368326,0.625246959865615,-0.4902856107546705,2.4,3.0,3.25,,,,,
2025-08-25,17:00,Colombia Primera B  ,Leones,Real Santander,7.149999999999999,-35.7,0.6732977927341308,0.283559834358788,-0.3678333449196832,-1.3459018710113166,-0.3462500683357833,2.0,3.25,3.8,,,,,
2025-08-25,17:30,Primera Division de Paraguay  ,Clud Libertad,Guarani CA,-50.87,-22.730000000000004,0.4172230777654495,-1.617037306782524,1.6729915737300989,0.685259815472385,1.3725921899888134,1.95,3.3,4.0,,,,,
2025-08-25,18:00,Argentine Division 1  ,Belgrano,Central Cordoba SDE,7.0,3.0,0.4248642680066564,0.7303118271022062,-1.355974408530079,-0.004607954314802,-0.4926993199927701,2.15,3.1,3.75,,,,,
2025-08-25,18:00,Brazil Serie A  ,Palmeiras,Sport Club do Recife,-30.07,-3.3300000000000014,0.2866902156824695,-0.6536498580561417,0.1436124975483361,-1.0237868573437197,-0.6435381252901854,1.33,5.0,9.5,,,,,
2025-08-25,18:00,Brazil Serie B  ,Botafogo SP,Vila Nova,-12.73,2.6900000000000013,0.4253650230874013,0.0349185075616695,-0.4775261174004851,-0.4219016895946605,-0.2907691149607476,2.8,2.7,3.0,,,,,
2025-08-25,18:15,Argentine Division 1  ,Estudiantes La Plata,Aldosivi Mar del Plata,-19.700000000000006,33.7,0.3569530106754236,-0.622430283906596,0.5564090483938954,1.0615229869998202,-0.4926993199927701,1.7,3.5,5.75,,,,,
2025-08-25,19:00,Categoria Primera A  ,Boyaca Chico,Deportivo Cali,-16.169999999999998,-7.700000000000002,0.3204988629260922,-0.8031174358098403,0.5223481912123528,0.0871563950152144,-0.3607336217545914,2.7,3.0,2.8,,,,,
