Id,status,home_goal,away_goal,home_ht_goal,away_ht_goal,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2861195,FT,0.0,1.0,0.0,0.0,1.0,8.0,1,2,0,0
2861096,FT,3.0,1.0,0.0,0.0,4.0,3.0,2,1,0,0
2861072,FT,0.0,1.0,0.0,0.0,6.0,3.0,3,2,0,0
2861113,FT,2.0,1.0,0.0,1.0,2.0,5.0,0,1,0,0
2861124,FT,2.0,1.0,0.0,1.0,5.0,0.0,2,1,0,0
2861148,FT,2.0,3.0,1.0,1.0,9.0,5.0,4,3,0,0
2861177,FT,3.0,0.0,1.0,0.0,8.0,3.0,2,4,0,0
2861201,FT,2.0,3.0,1.0,2.0,2.0,3.0,4,1,0,0
2861205,FT,1.0,0.0,0.0,0.0,7.0,3.0,1,2,0,0
2798235,FT,1.0,1.0,0.0,1.0,9.0,3.0,1,1,0,0
2798236,FT,1.0,2.0,0.0,2.0,5.0,5.0,4,1,0,0
2798237,FT,1.0,1.0,0.0,0.0,4.0,8.0,1,0,1,0
2798239,FT,1.0,1.0,0.0,0.0,6.0,2.0,2,3,0,0
2798240,FT,3.0,2.0,3.0,0.0,2.0,9.0,2,2,0,0
2798241,FT,1.0,1.0,0.0,1.0,7.0,4.0,1,1,0,0
2798242,FT,1.0,0.0,0.0,0.0,5.0,6.0,2,3,0,0
2798238,FT,2.0,1.0,1.0,0.0,6.0,3.0,1,1,0,0
2860625,FT,3.0,1.0,2.0,0.0,2.0,3.0,0,1,0,0
2860626,FT,2.0,2.0,1.0,1.0,6.0,3.0,2,2,0,0
2860627,FT,2.0,2.0,0.0,1.0,5.0,4.0,2,3,0,0
2860628,FT,0.0,0.0,0.0,0.0,12.0,3.0,1,3,0,0
2797671,FT,0.0,2.0,0.0,0.0,5.0,9.0,4,2,0,0
2797672,FT,1.0,0.0,0.0,0.0,6.0,4.0,2,0,0,0
2797673,FT,1.0,1.0,0.0,0.0,2.0,2.0,1,2,0,0
2797674,FT,3.0,1.0,1.0,0.0,7.0,8.0,0,1,0,0
2797675,FT,0.0,1.0,0.0,1.0,3.0,5.0,0,1,1,0
2797676,FT,1.0,1.0,1.0,1.0,5.0,1.0,0,0,0,0
2797680,FT,0.0,1.0,0.0,0.0,6.0,2.0,0,6,0,0
2797677,Postp.,,,,,,,0,0,0,0
2797681,FT,0.0,1.0,0.0,0.0,4.0,6.0,4,1,0,0
2797682,FT,1.0,2.0,0.0,1.0,5.0,3.0,1,3,0,0
2798775,FT,4.0,0.0,2.0,0.0,9.0,5.0,2,1,0,0
2798776,FT,0.0,3.0,0.0,0.0,5.0,5.0,4,1,1,0
2798777,FT,3.0,1.0,1.0,1.0,8.0,3.0,2,2,0,0
2798778,FT,1.0,1.0,1.0,0.0,5.0,1.0,0,0,0,0
2798780,FT,1.0,1.0,0.0,1.0,2.0,6.0,2,1,0,0
2798781,FT,0.0,2.0,0.0,1.0,3.0,6.0,2,1,0,0
2798782,FT,3.0,2.0,2.0,2.0,2.0,1.0,2,3,0,0
2798784,FT,1.0,1.0,1.0,1.0,2.0,6.0,2,2,0,0
2798785,FT,0.0,1.0,0.0,0.0,6.0,6.0,2,2,0,0
2904308,FT,0.0,1.0,0.0,1.0,5.0,1.0,1,3,0,0
2884796,FT,0.0,5.0,0.0,2.0,1.0,6.0,1,1,0,0
2884797,FT,1.0,0.0,1.0,0.0,4.0,0.0,1,2,0,0
2884798,FT,0.0,0.0,0.0,0.0,4.0,5.0,2,1,0,0
2884799,FT,2.0,0.0,1.0,0.0,6.0,5.0,2,2,2,0
2820770,Postp.,,,,,,,0,0,0,0
2820774,Postp.,,,,,,,0,0,0,0
2820214,FT,1.0,3.0,1.0,1.0,6.0,8.0,0,3,0,0
2820256,Postp.,,,,,,,0,0,0,0
2832029,Postp.,,,,,,,0,0,0,0
2828201,Postp.,,,,,,,0,0,0,0
2829063,FT,2.0,2.0,1.0,1.0,8.0,4.0,1,0,0,0
2829020,Postp.,,,,,,,0,0,0,0
2907728,FT,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2907729,FT,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2838967,FT,1.0,1.0,1.0,1.0,6.0,4.0,1,3,0,0
2839037,FT,2.0,1.0,0.0,0.0,10.0,4.0,2,3,0,0
2838968,FT,2.0,1.0,0.0,1.0,9.0,2.0,2,3,0,2
2838969,FT,1.0,2.0,0.0,0.0,4.0,2.0,0,0,0,0
2814319,FT,3.0,2.0,3.0,1.0,4.0,6.0,2,3,0,0
2904260,FT,0.0,3.0,0.0,2.0,6.0,4.0,4,0,0,0
2904261,FT,3.0,1.0,2.0,0.0,2.0,4.0,0,2,0,1
2904266,FT,2.0,0.0,1.0,0.0,6.0,1.0,1,0,0,1
2904267,FT,3.0,1.0,1.0,0.0,5.0,4.0,2,1,0,1
2793801,Postp.,,,,,,,0,0,0,0
2824035,FT,0.0,2.0,0.0,2.0,4.0,6.0,1,1,0,0
2824039,FT,1.0,1.0,0.0,0.0,4.0,3.0,3,1,0,0
2865768,FT,0.0,0.0,0.0,0.0,8.0,5.0,2,3,0,1
2904063,FT,2.0,1.0,1.0,1.0,8.0,1.0,0,2,0,0
2904065,FT,1.0,4.0,0.0,1.0,5.0,1.0,2,2,0,0
2904067,FT,4.0,0.0,1.0,0.0,3.0,2.0,1,2,0,0
2904069,FT,3.0,2.0,1.0,2.0,9.0,2.0,1,1,0,0
2904072,FT,1.0,1.0,0.0,1.0,6.0,3.0,1,3,0,0
2904073,FT,2.0,2.0,2.0,2.0,10.0,6.0,2,0,0,0
2904075,FT,2.0,3.0,2.0,2.0,2.0,5.0,1,3,0,0
2904076,FT,5.0,2.0,1.0,1.0,5.0,0.0,1,2,0,0
2905993,FT,2.0,0.0,1.0,0.0,5.0,6.0,0,0,0,1
2904064,Postp.,,,,,,,0,0,0,0
2904066,Postp.,,,,,,,0,0,0,0
2904068,Postp.,,,,,,,0,0,0,0
2904071,Postp.,,,,,,,0,0,0,0
2895605,FT,1.0,1.0,0.0,0.0,3.0,10.0,1,4,1,0
2895606,FT,0.0,0.0,0.0,0.0,6.0,4.0,1,3,0,0
2895607,FT,0.0,1.0,0.0,1.0,0.0,0.0,1,3,0,0
2895608,FT,0.0,1.0,0.0,1.0,3.0,11.0,1,2,0,0
2907479,FT,2.0,2.0,1.0,1.0,5.0,3.0,5,2,0,1
2868744,FT,2.0,0.0,1.0,0.0,5.0,11.0,2,2,0,0
2868748,FT,1.0,0.0,0.0,0.0,2.0,3.0,3,3,0,0
2907981,FT,3.0,4.0,3.0,2.0,7.0,6.0,0,0,0,0
2907702,FT,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2907706,FT,2.0,1.0,0.0,0.0,7.0,8.0,2,2,0,0
2844697,FT,3.0,0.0,2.0,0.0,0.0,1.0,0,1,0,0
2907976,FT,3.0,0.0,2.0,0.0,0.0,1.0,2,1,0,0
2874262,FT,1.0,0.0,0.0,0.0,6.0,8.0,1,3,0,0
2874263,FT,4.0,0.0,0.0,0.0,9.0,2.0,0,0,0,0
2907679,Postp.,,,,,,,0,0,0,0
