Id,status,home_goal,away_goal,home_ht_goal,away_ht_goal,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2861140,FT,0.0,3.0,0.0,1.0,4.0,7.0,3,4,0,0
2861168,FT,0.0,0.0,0.0,0.0,5.0,3.0,2,1,0,0
2861071,FT,1.0,0.0,0.0,0.0,4.0,2.0,1,4,0,0
2861068,FT,1.0,2.0,0.0,2.0,9.0,1.0,1,3,0,1
2861198,FT,0.0,1.0,0.0,1.0,4.0,4.0,1,3,1,0
2861184,FT,4.0,0.0,1.0,0.0,3.0,6.0,1,3,1,0
2861181,FT,1.0,1.0,1.0,0.0,3.0,6.0,1,1,0,0
2861163,FT,1.0,1.0,1.0,1.0,6.0,0.0,2,3,0,0
2861149,FT,3.0,1.0,1.0,0.0,9.0,1.0,1,3,0,0
2884276,FT,1.0,0.0,0.0,0.0,2.0,0.0,2,1,0,0
2884277,FT,4.0,0.0,2.0,0.0,4.0,3.0,2,0,0,0
2798169,FT,1.0,1.0,1.0,0.0,3.0,6.0,6,1,0,1
2798165,FT,1.0,0.0,0.0,0.0,4.0,3.0,0,0,0,0
2798164,FT,0.0,1.0,0.0,1.0,6.0,3.0,0,3,0,0
2798168,FT,1.0,1.0,1.0,1.0,2.0,5.0,1,2,0,0
2798170,FT,0.0,3.0,0.0,2.0,10.0,7.0,1,3,0,0
2798163,FT,4.0,0.0,2.0,0.0,2.0,3.0,0,0,0,0
2798167,FT,2.0,1.0,1.0,0.0,6.0,5.0,1,0,0,0
2798166,FT,3.0,1.0,0.0,1.0,6.0,13.0,3,2,0,0
2860614,FT,1.0,0.0,0.0,0.0,1.0,5.0,4,2,1,0
2860613,FT,1.0,2.0,1.0,1.0,10.0,6.0,1,0,0,0
2860615,FT,0.0,0.0,0.0,0.0,3.0,3.0,1,1,0,0
2860616,FT,2.0,0.0,1.0,0.0,3.0,7.0,0,0,0,0
2860665,FT,1.0,2.0,0.0,1.0,8.0,2.0,2,3,0,0
2860666,FT,3.0,0.0,1.0,0.0,2.0,1.0,2,2,0,0
2797499,FT,2.0,2.0,0.0,0.0,5.0,3.0,0,3,0,0
2813545,FT,2.0,0.0,1.0,0.0,3.0,4.0,5,1,1,0
2813538,FT,3.0,2.0,1.0,2.0,5.0,7.0,1,2,1,0
2849395,FT,0.0,2.0,0.0,1.0,1.0,3.0,3,2,0,0
2849396,FT,5.0,3.0,2.0,1.0,7.0,3.0,2,0,0,0
2849397,FT,3.0,1.0,2.0,0.0,9.0,4.0,0,0,0,0
2860724,FT,2.0,2.0,1.0,1.0,6.0,0.0,2,5,0,1
2780532,FT,1.0,4.0,0.0,2.0,7.0,3.0,3,1,0,0
2780543,FT,7.0,0.0,4.0,0.0,7.0,3.0,1,3,0,0
2780531,FT,1.0,2.0,1.0,1.0,4.0,3.0,1,0,0,0
2780526,FT,1.0,4.0,1.0,3.0,6.0,5.0,1,0,0,0
2780537,FT,1.0,1.0,1.0,0.0,3.0,5.0,1,1,0,0
2780525,FT,0.0,3.0,0.0,2.0,7.0,4.0,1,4,0,0
2780538,FT,5.0,0.0,2.0,0.0,7.0,3.0,1,2,0,0
2780544,FT,1.0,3.0,1.0,3.0,1.0,7.0,2,1,0,0
2845697,FT,1.0,1.0,1.0,1.0,7.0,1.0,0,0,0,0
2845698,FT,1.0,1.0,1.0,1.0,3.0,1.0,1,3,0,0
2845699,FT,1.0,1.0,1.0,1.0,2.0,2.0,1,1,0,0
2844431,FT,0.0,1.0,0.0,1.0,5.0,4.0,0,2,0,0
2844430,FT,0.0,0.0,0.0,0.0,3.0,4.0,2,2,0,0
2844428,FT,1.0,1.0,0.0,0.0,6.0,3.0,1,0,0,0
2844429,FT,4.0,1.0,1.0,0.0,4.0,5.0,0,1,0,0
2843549,FT,2.0,1.0,2.0,0.0,4.0,5.0,2,1,0,0
2843552,FT,0.0,1.0,0.0,0.0,3.0,4.0,3,1,0,1
