game_id,status,home_goal,away_goal,home_ht_goal,away_ht_goal,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2789194,,,,,,,,0,0,0,0
2789190,,,,,,,,0,0,0,0
2789197,,,,,,,,0,0,0,0
2789198,,,,,,,,0,0,0,0
2789192,,,,,,,,0,0,0,0
2804364,,,,,,,,0,0,0,0
2804373,,,,,,,,0,0,0,0
2804367,,,,,,,,0,0,0,0
2804371,,,,,,,,0,0,0,0
2804366,,,,,,,,0,0,0,0
2784540,,,,,,,,0,0,0,0
2784534,,,,,,,,0,0,0,0
2784533,,,,,,,,0,0,0,0
2784538,,,,,,,,0,0,0,0
2784536,,,,,,,,0,0,0,0
2799459,,,,,,,,0,0,0,0
2799457,,,,,,,,0,0,0,0
2799454,,,,,,,,0,0,0,0
2800077,,,,,,,,0,0,0,0
2800075,,,,,,,,0,0,0,0
2800079,,,,,,,,0,0,0,0
2800081,,,,,,,,0,0,0,0
2800076,,,,,,,,0,0,0,0
2798107,,,,,,,,0,0,0,0
2859738,,,,,,,,0,0,0,0
2859736,,,,,,,,0,0,0,0
2859744,,,,,,,,0,0,0,0
2859740,,,,,,,,0,0,0,0
2859739,,,,,,,,0,0,0,0
2859742,,,,,,,,0,0,0,0
2859737,,,,,,,,0,0,0,0
2859741,,,,,,,,0,0,0,0
2858901,,,,,,,,0,0,0,0
2858902,,,,,,,,0,0,0,0
2858903,,,,,,,,0,0,0,0
2822329,,,,,,,,0,0,0,0
2822330,,,,,,,,0,0,0,0
2799776,,,,,,,,0,0,0,0
2799779,,,,,,,,0,0,0,0
2799783,,,,,,,,0,0,0,0
2807708,,,,,,,,0,0,0,0
2807699,,,,,,,,0,0,0,0
2807706,,,,,,,,0,0,0,0
2807707,,,,,,,,0,0,0,0
2807705,,,,,,,,0,0,0,0
2839468,,,,,,,,0,0,0,0
2839462,,,,,,,,0,0,0,0
2839466,,,,,,,,0,0,0,0
2839464,,,,,,,,0,0,0,0
2791794,,,,,,,,0,0,0,0
2791797,,,,,,,,0,0,0,0
2791792,,,,,,,,0,0,0,0
2791796,,,,,,,,0,0,0,0
2791533,,,,,,,,0,0,0,0
2791534,,,,,,,,0,0,0,0
2791536,,,,,,,,0,0,0,0
2814787,,,,,,,,0,0,0,0
2814792,,,,,,,,0,0,0,0
2814793,,,,,,,,0,0,0,0
2814789,,,,,,,,0,0,0,0
2790772,,,,,,,,0,0,0,0
2790774,,,,,,,,0,0,0,0
2790773,,,,,,,,0,0,0,0
2790775,,,,,,,,0,0,0,0
2825396,,,,,,,,0,0,0,0
2793376,,,,,,,,0,0,0,0
2793372,,,,,,,,0,0,0,0
2793371,,,,,,,,0,0,0,0
2800381,,,,,,,,0,0,0,0
2800384,,,,,,,,0,0,0,0
2800386,,,,,,,,0,0,0,0
2793203,,,,,,,,0,0,0,0
2793204,,,,,,,,0,0,0,0
2793205,,,,,,,,0,0,0,0
2822143,,,,,,,,0,0,0,0
2822144,,,,,,,,0,0,0,0
2822148,,,,,,,,0,0,0,0
2822146,,,,,,,,0,0,0,0
2866541,,,,,,,,0,0,0,0
2711567,,,,,,,,0,0,0,0
2711561,,,,,,,,0,0,0,0
2711560,,,,,,,,0,0,0,0
2711565,,,,,,,,0,0,0,0
2711563,,,,,,,,0,0,0,0
2703091,,,,,,,,0,0,0,0
2703087,,,,,,,,0,0,0,0
2703094,,,,,,,,0,0,0,0
2703088,,,,,,,,0,0,0,0
2701900,,,,,,,,0,0,0,0
2741739,,,,,,,,0,0,0,0
2741740,,,,,,,,0,0,0,0
2776218,,,,,,,,0,0,0,0
2776217,,,,,,,,0,0,0,0
2776225,,,,,,,,0,0,0,0
2776215,,,,,,,,0,0,0,0
2776222,,,,,,,,0,0,0,0
2734974,,,,,,,,0,0,0,0
2734973,,,,,,,,0,0,0,0
2734965,,,,,,,,0,0,0,0
2734972,,,,,,,,0,0,0,0
2734967,,,,,,,,0,0,0,0
2734969,,,,,,,,0,0,0,0
2781777,,,,,,,,0,0,0,0
2781778,,,,,,,,0,0,0,0
2781783,,,,,,,,0,0,0,0
2781784,,,,,,,,0,0,0,0
2716661,,,,,,,,0,0,0,0
2716662,,,,,,,,0,0,0,0
2716664,,,,,,,,0,0,0,0
2716663,,,,,,,,0,0,0,0
2702267,,,,,,,,0,0,0,0
2702274,,,,,,,,0,0,0,0
2702275,,,,,,,,0,0,0,0
2702273,,,,,,,,0,0,0,0
2702269,,,,,,,,0,0,0,0
2785204,,,,,,,,0,0,0,0
2785203,,,,,,,,0,0,0,0
2785199,,,,,,,,0,0,0,0
2785200,,,,,,,,0,0,0,0
2785201,,,,,,,,0,0,0,0
2701288,,,,,,,,0,0,0,0
2701287,,,,,,,,0,0,0,0
