Id,status,home_goal,away_goal,home_ht_goal,away_ht_goal,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2789285,FT,4.0,4.0,2.0,1.0,5.0,4.0,2,3,0,0
2804451,FT,0.0,0.0,0.0,0.0,8.0,3.0,4,1,0,0
2784629,FT,1.0,0.0,0.0,0.0,6.0,3.0,3,3,0,0
2909378,FT,2.0,0.0,0.0,0.0,4.0,2.0,4,3,0,0
2909516,FT,1.0,0.0,1.0,0.0,11.0,3.0,1,4,0,1
2798255,FT,0.0,3.0,0.0,1.0,1.0,5.0,4,1,0,0
2859839,FT,0.0,0.0,0.0,0.0,7.0,1.0,0,6,0,0
2859843,FT,1.0,0.0,1.0,0.0,5.0,2.0,1,1,0,0
2847401,FT,1.0,2.0,1.0,1.0,7.0,4.0,1,3,0,1
2807810,FT,3.0,1.0,1.0,1.0,5.0,4.0,4,2,0,0
2791598,FT,1.0,0.0,1.0,0.0,5.0,5.0,1,3,0,0
2814846,FT,3.0,1.0,0.0,0.0,3.0,10.0,5,6,1,1
2814841,FT,1.0,0.0,1.0,0.0,5.0,1.0,1,3,0,0
2814844,FT,3.0,1.0,1.0,0.0,4.0,0.0,1,5,0,0
2797218,FT,1.0,1.0,1.0,0.0,5.0,2.0,2,2,0,0
2797220,FT,0.0,2.0,0.0,0.0,0.0,6.0,0,1,1,0
2812980,FT,4.0,0.0,3.0,0.0,4.0,4.0,2,2,0,0
2815879,FT,3.0,0.0,1.0,0.0,5.0,2.0,3,4,0,1
2884484,FT,5.0,0.0,1.0,0.0,2.0,10.0,0,1,0,0
2837548,FT,3.0,3.0,3.0,3.0,13.0,2.0,3,3,0,0
2837557,FT,1.0,0.0,1.0,0.0,4.0,3.0,2,1,0,0
2840856,FT,2.0,0.0,2.0,0.0,4.0,2.0,0,3,0,0
2840857,FT,2.0,1.0,1.0,0.0,2.0,8.0,1,3,0,0
2907741,FT,1.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
2907742,FT,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2907743,FT,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2907744,FT,1.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
2839041,FT,0.0,1.0,0.0,0.0,7.0,4.0,2,4,0,0
2909385,FT,3.0,0.0,1.0,0.0,3.0,6.0,3,0,0,0
2909384,FT,0.0,1.0,0.0,0.0,4.0,4.0,1,1,1,0
2801041,FT,2.0,2.0,0.0,2.0,13.0,1.0,2,5,0,0
2801036,FT,2.0,1.0,1.0,1.0,17.0,1.0,1,1,0,0
2795756,FT,0.0,0.0,0.0,0.0,3.0,5.0,7,1,0,0
2827144,FT,1.0,1.0,0.0,1.0,1.0,6.0,3,3,0,0
2898985,FT,1.0,3.0,0.0,2.0,5.0,2.0,0,1,0,0
2908167,FT,0.0,4.0,0.0,3.0,0.0,0.0,3,2,0,0
2908168,FT,3.0,1.0,2.0,0.0,0.0,5.0,3,3,0,0
2908169,FT,2.0,0.0,1.0,0.0,0.0,0.0,1,2,0,0
2908170,FT,1.0,1.0,1.0,1.0,0.0,0.0,2,3,0,0
2908171,FT,0.0,1.0,0.0,1.0,5.0,1.0,4,3,0,0
2907772,FT,1.0,5.0,0.0,2.0,3.0,8.0,1,2,0,0
2908206,FT,5.0,3.0,2.0,2.0,3.0,4.0,2,0,0,0
2908207,FT,3.0,2.0,2.0,0.0,8.0,2.0,1,4,0,0
2868750,FT,1.0,1.0,1.0,1.0,10.0,1.0,1,4,0,0
2868752,FT,2.0,2.0,1.0,0.0,3.0,6.0,2,5,0,0
2855933,FT,2.0,3.0,1.0,0.0,5.0,2.0,4,3,2,0
2855934,FT,2.0,1.0,0.0,1.0,2.0,12.0,2,4,0,0
2855940,FT,2.0,0.0,2.0,0.0,3.0,1.0,1,2,0,0
2908385,FT,2.0,2.0,1.0,2.0,0.0,0.0,0,0,0,0
2885577,FT,2.0,1.0,1.0,0.0,6.0,5.0,3,0,0,0
2885578,FT,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2885579,FT,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
2885580,FT,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2885581,FT,1.0,3.0,0.0,1.0,0.0,0.0,0,0,0,0
2885582,FT,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
2885583,FT,0.0,0.0,0.0,0.0,0.0,0.0,3,5,1,0
2885584,FT,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,0
2866950,FT,1.0,1.0,1.0,0.0,3.0,5.0,2,2,0,0
2844673,FT,1.0,1.0,0.0,1.0,12.0,2.0,1,0,0,0
2909891,FT,4.0,2.0,2.0,1.0,6.0,4.0,3,4,0,1
2909893,FT,0.0,1.0,0.0,1.0,2.0,6.0,2,1,0,0
2909894,FT,2.0,3.0,1.0,1.0,4.0,2.0,3,2,1,0
2909896,FT,0.0,2.0,0.0,2.0,5.0,10.0,2,3,0,0
2909899,FT,2.0,0.0,0.0,0.0,4.0,1.0,3,0,0,0
2907349,Postp.,,,,,,,0,0,0,0
2908029,FT,2.0,1.0,0.0,0.0,2.0,5.0,4,4,0,0
2908030,FT,0.0,1.0,0.0,1.0,2.0,2.0,4,9,0,1
2909841,FT,0.0,0.0,0.0,0.0,5.0,0.0,2,1,0,0
2909842,FT,2.0,1.0,0.0,1.0,8.0,3.0,4,2,0,1
