game_id,status,home_goal,away_goal,home_ht_goal,away_ht_goal,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2709619,FT,0.0,3.0,0.0,2.0,3.0,2.0,1,1,0,0
2709656,FT,1.0,6.0,0.0,3.0,2.0,6.0,2,1,0,0
2709668,FT,0.0,3.0,0.0,0.0,1.0,8.0,1,0,0,0
2709620,FT,3.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0
2709643,FT,1.0,1.0,1.0,0.0,0.0,0.0,3,2,1,0
2709679,FT,5.0,1.0,0.0,1.0,12.0,2.0,2,0,0,0
2709680,FT,0.0,1.0,0.0,1.0,2.0,9.0,1,1,0,0
2709655,FT,2.0,1.0,0.0,0.0,0.0,0.0,2,3,0,0
2709642,FT,1.0,2.0,1.0,1.0,12.0,4.0,0,2,0,0
2709667,FT,1.0,1.0,1.0,1.0,5.0,3.0,3,3,0,0
2709632,FT,0.0,4.0,0.0,3.0,0.0,11.0,1,2,0,0
2709631,FT,9.0,0.0,3.0,0.0,5.0,2.0,0,2,0,0
2858807,FT,2.0,1.0,0.0,0.0,1.0,2.0,2,3,1,0
2858808,FT,0.0,0.0,0.0,0.0,0.0,1.0,4,2,0,0
2700474,FT,1.0,1.0,1.0,0.0,3.0,4.0,2,3,0,0
2700507,FT,1.0,3.0,1.0,1.0,0.0,10.0,4,1,0,0
2700508,FT,0.0,5.0,0.0,3.0,2.0,9.0,4,1,0,0
2756224,FT,2.0,2.0,2.0,1.0,5.0,4.0,2,2,0,0
2700430,FT,1.0,0.0,0.0,0.0,6.0,0.0,4,0,0,1
2756237,FT,3.0,0.0,1.0,0.0,4.0,3.0,2,1,0,0
2756230,FT,4.0,0.0,1.0,0.0,11.0,0.0,0,0,0,0
2700424,FT,4.0,1.0,3.0,0.0,7.0,6.0,1,1,0,0
2498760,FT,0.0,7.0,0.0,2.0,0.0,6.0,2,2,0,0
2498788,FT,2.0,1.0,0.0,1.0,7.0,0.0,1,2,0,0
2498669,FT,4.0,0.0,2.0,0.0,4.0,4.0,1,6,0,0
2498789,FT,2.0,2.0,2.0,2.0,5.0,4.0,2,2,0,0
2498670,FT,3.0,0.0,2.0,0.0,7.0,4.0,3,4,0,0
2498790,FT,0.0,1.0,0.0,1.0,4.0,7.0,1,1,0,0
2498638,FT,1.0,0.0,1.0,0.0,7.0,2.0,2,2,0,0
2498729,FT,1.0,0.0,0.0,0.0,10.0,0.0,1,3,0,0
2498759,FT,3.0,0.0,1.0,0.0,2.0,2.0,0,1,0,0
2498639,FT,4.0,0.0,1.0,0.0,2.0,3.0,1,1,0,0
2498758,FT,2.0,0.0,0.0,0.0,6.0,4.0,1,1,0,0
2787213,FT,1.0,1.0,1.0,0.0,4.0,7.0,3,1,0,0
2787212,FT,4.0,0.0,3.0,0.0,9.0,2.0,0,3,0,0
2787210,FT,1.0,1.0,0.0,1.0,7.0,3.0,0,1,0,0
2787211,FT,0.0,1.0,0.0,0.0,3.0,0.0,1,2,0,0
2889508,FT,2.0,0.0,0.0,0.0,8.0,0.0,4,4,0,0
2889507,FT,6.0,2.0,2.0,2.0,5.0,4.0,4,2,0,1
2889512,FT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2889513,FT,0.0,0.0,0.0,0.0,2.0,4.0,4,5,1,0
2889510,FT,1.0,3.0,0.0,2.0,9.0,2.0,1,1,0,0
2889509,FT,1.0,1.0,0.0,1.0,9.0,1.0,0,1,0,1
2889511,FT,2.0,2.0,0.0,1.0,7.0,4.0,1,4,0,0
2887837,FT,2.0,0.0,2.0,0.0,3.0,4.0,3,2,0,0
2849385,FT,2.0,1.0,1.0,1.0,4.0,7.0,0,3,0,0
2849365,FT,5.0,1.0,4.0,0.0,4.0,4.0,4,5,0,0
2884823,FT,3.0,1.0,1.0,1.0,4.0,3.0,3,1,0,0
2884824,FT,1.0,4.0,1.0,1.0,1.0,3.0,3,2,0,1
2884825,FT,2.0,1.0,2.0,0.0,4.0,1.0,2,1,0,0
2884826,FT,3.0,0.0,2.0,0.0,3.0,4.0,0,5,0,0
2885012,FT,2.0,1.0,2.0,0.0,6.0,2.0,0,0,0,0
2815655,FT,2.0,1.0,1.0,1.0,3.0,4.0,3,2,0,0
2850140,FT,0.0,0.0,0.0,0.0,4.0,4.0,1,4,0,0
2831961,FT,4.0,1.0,2.0,1.0,7.0,4.0,2,5,0,0
2831969,FT,2.0,1.0,1.0,0.0,7.0,4.0,3,5,0,0
2831966,FT,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2831963,FT,3.0,1.0,1.0,1.0,9.0,2.0,1,3,0,0
2831965,FT,2.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1
2831968,FT,3.0,1.0,2.0,0.0,3.0,3.0,2,4,0,1
2831962,FT,2.0,1.0,1.0,0.0,5.0,5.0,0,1,0,1
2831967,Postp.,,,,,,,0,0,0,0
2831964,Postp.,,,,,,,0,0,0,0
2828219,FT,2.0,1.0,1.0,0.0,0.0,5.0,4,2,0,0
2828180,FT,2.0,0.0,2.0,0.0,1.0,6.0,1,1,0,0
2828215,FT,1.0,2.0,1.0,0.0,5.0,3.0,2,1,0,0
2828998,FT,1.0,1.0,0.0,0.0,8.0,1.0,0,1,0,0
2829006,FT,1.0,2.0,1.0,1.0,0.0,0.0,1,0,2,1
2829001,FT,0.0,1.0,0.0,0.0,4.0,3.0,0,2,0,0
2829005,FT,0.0,1.0,0.0,0.0,2.0,6.0,2,2,0,0
2828999,FT,3.0,2.0,2.0,1.0,0.0,0.0,0,0,0,0
2829002,FT,3.0,0.0,1.0,0.0,6.0,4.0,2,4,0,0
2829007,Postp.,,,,,,,0,0,0,0
2829004,Postp.,,,,,,,0,0,0,0
2816459,FT,4.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
2781327,FT,0.0,1.0,0.0,0.0,3.0,10.0,2,3,0,0
2781271,FT,2.0,1.0,1.0,1.0,4.0,4.0,0,4,0,1
2781242,FT,3.0,3.0,1.0,2.0,0.0,19.0,6,6,0,2
2781422,FT,2.0,0.0,2.0,0.0,8.0,1.0,1,5,0,0
2781356,FT,0.0,2.0,0.0,0.0,4.0,3.0,3,2,0,0
2781241,FT,2.0,1.0,1.0,1.0,5.0,3.0,4,3,0,0
2781377,FT,1.0,0.0,0.0,0.0,4.0,2.0,2,6,0,0
2781302,FT,0.0,6.0,0.0,3.0,4.0,4.0,5,1,0,0
2781376,FT,1.0,1.0,1.0,1.0,2.0,3.0,3,2,0,0
2781301,FT,3.0,2.0,0.0,1.0,7.0,2.0,3,2,0,0
2781208,FT,2.0,0.0,1.0,0.0,0.0,5.0,1,3,0,0
2781209,FT,7.0,0.0,3.0,0.0,10.0,4.0,2,5,1,0
2781396,FT,0.0,2.0,0.0,1.0,2.0,1.0,0,2,0,0
2781300,FT,5.0,1.0,0.0,0.0,11.0,0.0,3,2,1,0
2781329,FT,1.0,2.0,1.0,0.0,6.0,7.0,3,1,0,0
2781207,FT,2.0,1.0,0.0,0.0,7.0,2.0,2,3,0,0
2781272,FT,1.0,3.0,0.0,1.0,3.0,4.0,2,1,0,0
2781328,FT,0.0,5.0,0.0,2.0,6.0,8.0,4,2,0,0
2781240,FT,0.0,11.0,0.0,3.0,0.0,10.0,1,1,0,0
2781397,FT,2.0,0.0,0.0,0.0,7.0,9.0,2,3,0,0
2846115,FT,0.0,9.0,0.0,4.0,0.0,0.0,3,1,0,0
2846114,FT,1.0,7.0,0.0,3.0,0.0,0.0,2,0,0,0
2846132,FT,0.0,6.0,0.0,4.0,0.0,0.0,1,2,0,0
2846133,FT,0.0,2.0,0.0,0.0,0.0,0.0,2,1,0,0
2846138,FT,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2846157,FT,1.0,5.0,1.0,2.0,0.0,0.0,3,2,0,0
2846156,FT,0.0,5.0,0.0,2.0,0.0,0.0,1,2,0,0
2846139,FT,3.0,2.0,2.0,1.0,0.0,0.0,3,2,0,0
2846127,FT,0.0,4.0,0.0,0.0,0.0,0.0,1,2,0,0
2846126,FT,1.0,5.0,1.0,3.0,0.0,0.0,3,0,0,0
2846178,FT,0.0,1.0,0.0,0.0,0.0,0.0,1,4,0,0
2791032,FT,0.0,5.0,0.0,4.0,0.0,0.0,0,0,0,0
2791033,FT,0.0,5.0,0.0,2.0,0.0,0.0,0,0,0,0
2810365,FT,2.0,4.0,1.0,2.0,3.0,4.0,2,2,0,0
2745149,FT,2.0,3.0,0.0,1.0,5.0,3.0,4,2,0,0
2745144,FT,1.0,1.0,0.0,0.0,7.0,6.0,2,3,0,0
2745143,FT,1.0,1.0,0.0,1.0,10.0,2.0,0,3,2,1
2887537,FT,5.0,1.0,3.0,1.0,1.0,10.0,2,0,0,0
2887862,FT,3.0,0.0,2.0,0.0,5.0,2.0,1,3,0,0
2881040,FT,4.0,1.0,1.0,1.0,3.0,2.0,1,0,0,0
2889834,FT,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0
2889828,FT,4.0,2.0,3.0,1.0,0.0,0.0,0,0,0,0
2889840,FT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2889831,FT,4.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0
2889835,FT,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2889841,FT,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
2889874,FT,4.0,3.0,1.0,2.0,7.0,5.0,1,0,0,0
2888100,FT,2.0,1.0,1.0,0.0,5.0,3.0,1,1,0,0
2889784,FT,0.0,1.0,0.0,1.0,7.0,2.0,2,4,0,0
