Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_OP,Odd_D_OP,Odd_A_OP,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_H,MT_H,M_HT_H,MT_HT_H,M_A,MT_A,M_HT_A,MT_HT_A
2793224,2025-11-26,13:00,Switzerland Super League,Lugano,St. Gallen,1.91,3.7,3.75,1.86,4.0,3.5,1.0,0.5,0.8,1.98,3,1.83,D,6.0,5.0,0.8333333333333334,26.700000000000003,-0.6,40.0,0.6666666666666666,26.700000000000003,0.1176182311592532,-0.8,20.0,0.3006360524426366,-13.299999999999997,6.700000000000003,0.41825428360188976,1.2377024492520179,0.9014215224974507,0.9502489628489144,-0.8953988692537764,0.02175783791443682,-0.9379886067305335,1.1482057009592108,-1.4142135623730951
2807755,2025-11-26,13:00,Spanish La Liga 2,AD Ceuta,Almeria,3.1,3.4,2.3,3.05,3.3,2.2,0.85,0/-0.5,0.95,1.9,2.5,1.9,D,6.0,7.0,0.3333333333333333,15.01,-0.1428571428571428,11.439999999999998,0.3333333333333333,26.700000000000003,0.0967693325592168,-0.2857142857142857,21.39,0.1582169222626268,3.570000000000002,5.310000000000002,0.25498625482184356,1.2721633878135807,0.8417285739436946,1.134118580261751,0.8411594599668427,0.18544732187122762,0.42166338819665317,-0.36126699728214556,0.5499902447652796
2813286,2025-11-26,13:00,Germany Regionalliga,VSG Altglienicke,Hertha BSC Berlin Youth,1.73,3.7,3.75,1.73,3.7,3.75,0.8,0.5,1.0,1.9,2.5/3,1.9,A,6.0,7.0,0.5,-30.010000000000005,-0.4285714285714285,7.149999999999999,0.5,-1.690000000000003,0.1876128068994087,-0.7142857142857143,17.099999999999998,0.1582169222626268,-37.160000000000004,-18.79,0.34582972916203547,-0.4372371949377417,-1.1501116697008513,-1.5534893226960778,0.07521109295004336,0.27036296371631025,-0.3757686113910282,-0.2040627454568857,-0.013178480360375897
2902398,2025-11-26,14:00,Copa LFPB,Club Guabira,The Strongest,2.35,3.3,2.7,2.38,3.4,2.63,1.03,0/0.5,0.78,1.8,2.5/3,2.0,H,12.0,13.0,0.4166666666666667,20.83,0.2307692307692307,-6.890000000000001,0.6666666666666666,26.700000000000003,0.3195073356553728,0.2307692307692307,8.470000000000002,0.2365895936154873,27.72,18.23,0.5560969292708601,1.7102535722768613,0.650405631726616,0.9730381559737741,0.5958379673452543,-0.7119425200925377,-1.3618769278112415,-1.382244861774133,-0.7976071426123437
2897005,2025-11-26,14:30,Coppa Italia Serie C,Sambenedettese,Brescia,2.75,3.25,2.25,2.5,3.2,2.5,0.78,0/-0.5,1.03,1.95,2,1.85,A,8.0,7.0,0.125,5.0,0.7142857142857143,-25.700000000000003,0.375,1.25,0.0822171657090154,0.8571428571428571,31.4,0.0300525858717302,30.700000000000003,-30.15,0.11226975158074559,-0.3601527434409484,0.0,0.39350866272858076,0.0,1.1433931183476196,0.0,-1.142345276382261,0.0
2798201,2025-11-26,14:45,England Championship,Millwall,Sheffield Wednesday,1.67,3.7,5.25,1.56,3.6,5.75,1.1,1,0.78,1.98,2.5,1.88,A,8.0,7.0,0.5,13.75,-1.0,17.099999999999998,0.5,10.0,0.136841759461521,-1.0,31.4,0.2999883213415286,-3.349999999999998,-21.4,0.4368300808030496,0.45781042155125407,0.5912003096333671,0.56768591334407,0.5074591471041691,0.7476718886772422,-1.3692485613563763,0.35258981892880026,-1.2871787921792917
2798202,2025-11-26,14:45,England Championship,Sheffield United,Portsmouth,1.8,3.6,4.5,1.76,3.4,4.33,0.83,0.5,1.03,2.03,2.5,1.83,A,7.0,7.0,0.8571428571428571,-25.700000000000003,-0.8571428571428571,2.899999999999995,0.8571428571428571,-25.700000000000003,0.1582169222626268,-0.8571428571428571,21.39,0.1582169222626268,-28.599999999999998,-47.09,0.3164338445252536,-1.033890562544921,0.4810695813157325,-1.3737339794748926,-0.10708520206169782,0.25230841787870634,-1.4449038784442259,-0.31198207826849145,-0.32282987180635564
2798207,2025-11-26,14:45,England Championship,Blackburn Rovers,Queens Park Rangers (QPR),2.2,3.4,3.25,2.01,3.3,3.4,0.83,0/0.5,1.03,2.05,2.5,1.8,D,7.0,8.0,0.1428571428571428,-12.87,-0.75,-2.5,0.0,-25.700000000000003,0.3589290901482126,-0.75,13.75,0.2152125268244419,-10.37,-39.45,0.5741416169726545,-1.033890562544921,1.4038859024581025,-0.7423419078686239,-0.29513360104378433,-0.1257711941992972,1.0831143846011897,-0.5647066025547852,1.454934952552235
2798210,2025-11-26,14:45,England Championship,Wrexham,Bristol City,2.5,3.3,2.8,2.35,3.25,2.7,0.8,0,1.05,2.03,2.5,1.83,A,8.0,7.0,0.25,8.75,-0.2857142857142857,25.68,0.625,1.25,0.2152125268244419,-0.2857142857142857,25.68,0.1582169222626268,-16.93,-24.43,0.37342944908706865,0.09219743525317196,1.6762811615451598,0.3216250904265843,-0.1481568372872622,0.464607048220936,-0.37595068531080356,0.7541410075170231,-0.7332145127164414
2861107,2025-11-26,15:00,UEFA Champions League,Atletico Madrid,Inter Milan,2.25,3.5,3.1,2.25,3.5,3.0,1.03,0/0.5,0.83,1.85,2.5,2.0,H,7.0,5.0,0.8571428571428571,-21.410000000000004,0.4,0.0,0.8571428571428571,21.39,0.2504542304090258,0.4,0.0,0.230719932208837,-21.410000000000004,21.39,0.48117416261786283,0.4316052192171983,0.9835784855270007,-1.7933396495944889,-1.2505609858751203,-0.3469957614932631,-1.414213562373095,-0.26352431025591727,-1.414213562373095
2861172,2025-11-26,15:00,UEFA Champions League,Sporting CP,Club Brugge,1.62,4.33,5.0,1.75,3.6,4.5,0.83,0.5,1.03,2.0,3,1.85,D,5.0,8.0,1.0,0.0,0.875,-27.5,1.0,0.0,0.1500357088201714,1.0,-25.0,0.0256789559489747,27.5,25.0,0.1757146647691461,-0.5158987130869092,-1.4142135623730954,-0.6721326688396145,-1.4142135623730954,-1.4871125968425845,0.5773502691896257,-1.3453106336756195,1.7320508075688774
2861135,2025-11-26,15:00,UEFA Champions League,Eintracht Frankfurt,Atalanta,2.6,3.5,2.6,2.8,3.4,2.45,0.88,0,0.98,1.95,2.5/3,1.9,H,5.0,6.0,0.6,0.0,0.5,-6.700000000000006,0.6,20.0,0.1176182311592532,0.3333333333333333,-6.700000000000006,0.0967693325592168,6.700000000000006,26.700000000000006,0.21438756371847,0.3700329674218402,1.414213562373095,-0.6721326688396145,1.414213562373095,-0.6525470733668816,0.0,-0.5270867963254451,0.0
2861102,2025-11-26,15:00,UEFA Champions League,Liverpool,PSV Eindhoven,1.3,6.0,8.0,1.27,5.75,9.5,0.93,1.5/2,0.93,2.03,3.5,1.83,A,6.0,7.0,1.0,10.0,0.8571428571428571,45.7,1.0,10.0,0.0614903152761605,0.8571428571428571,31.4,0.2504542304090258,-35.7,-21.4,0.3119445456851863,-0.07293287283253445,0.0,-0.14844888520819272,0.0,1.0849909837054845,-0.23606468033999203,1.5342078708451885,1.0342244694284493
2798209,2025-11-26,15:00,England Championship,West Bromwich(WBA),Birmingham City,2.7,3.1,2.7,2.45,3.05,2.75,0.8,0,1.05,2.1,2/2.5,1.78,D,7.0,8.0,0.8571428571428571,17.099999999999998,-0.125,-23.75,1.0,2.899999999999995,0.0822171657090154,0.0,-11.25,0.136841759461521,40.849999999999994,14.149999999999995,0.21905892517053638,0.16114159838366723,1.2871787921792912,0.7325466646987854,-1.5261198701471124,-1.3629426996901464,-0.9904126344826891,-1.5592244064591827,-0.09419373038053616
2861085,2025-11-26,15:00,UEFA Champions League,Olympiakos Piraeus,Real Madrid,5.75,5.0,1.45,7.0,5.0,1.38,1.0,-1/1.5,0.85,1.88,3,1.98,H,6.0,7.0,1.0,-1.690000000000003,0.8571428571428571,7.149999999999999,1.0,26.700000000000003,0.230719932208837,0.8571428571428571,2.899999999999995,0.3589290901482126,-8.840000000000002,23.800000000000008,0.5896490223570496,0.6668200803922714,0.0,-0.760635228273325,0.0,-0.21474220859274204,0.0,0.0177401338332053,0.0
2861078,2025-11-26,15:00,UEFA Champions League,Paris Saint Germain (PSG),Tottenham Hotspur,1.38,4.75,8.5,1.44,4.5,7.0,0.83,1,1.03,2.05,3/3.5,1.8,A,6.0,6.0,1.0,-13.31,-0.3333333333333333,-1.690000000000003,1.0,-6.700000000000006,0.0300525858717302,-0.1666666666666666,43.3,0.4364905634363539,-11.619999999999997,-50.0,0.4665431493080841,-0.8126858260573403,0.0,-1.369155784853037,0.0,1.6276865973317614,-1.7320508075688774,-0.3300049970406191,1.7162369990158342
2837890,2025-11-26,15:00,Primera Division de Paraguay,Sportivo Ameliano,Sportivo Trinidense,2.8,3.1,2.38,3.1,3.1,2.15,0.88,0/-0.5,0.93,1.85,2/2.5,1.95,A,21.0,21.0,-0.0952380952380952,10.039999999999996,-0.1904761904761904,8.089999999999998,0.0,9.039999999999996,0.3096289731154949,-0.1904761904761904,18.1,0.1811895478679446,1.9499999999999975,-9.060000000000006,0.49081852098343953,0.13466545684949974,-1.1543922807211595,0.3572682308695749,-0.8879875989945291,0.3438423314347972,-0.055253927258289114,-0.0676721190094239,-0.02350326772532532
2861095,2025-11-26,15:00,UEFA Champions League,Arsenal,Bayern Munchen,2.15,3.5,3.25,2.15,3.5,3.2,0.88,0/0.5,0.98,1.88,2.5/3,1.98,D,6.0,5.0,1.0,43.3,1.0,20.0,1.0,26.700000000000003,0.1876128068994087,1.0,20.0,0.230719932208837,23.299999999999997,6.700000000000003,0.4183327391082457,0.6668200803922714,-1.0,1.5954181142844417,1.414213562373095,0.565097706786194,0.0,0.5232293795038663,0.0
2903315,2025-11-26,16:00,Chile Primera B,San Marcos de Arica,Cobreloa,2.4,3.5,2.55,2.38,3.3,2.75,0.83,0,0.98,1.98,2.5,1.83,H,9.0,13.0,0.5555555555555556,18.93,-0.2307692307692307,-4.579999999999999,0.8888888888888888,30.03,0.2666473457440296,-0.0769230769230769,5.389999999999997,0.2320575430148813,23.509999999999998,24.640000000000004,0.4987048887589109,1.129294966255853,1.6620981395749463,1.2682096889176404,1.6621542334109891,-0.42309871099142393,-1.2312212049924662,-0.8382341479692206,-1.3601200338933366
2735056,2025-11-26,17:00,Brazil Serie A,Bragantino,Fortaleza,1.81,3.7,4.1,2.05,3.3,3.3,0.85,0/0.5,1.0,1.93,2.5,1.93,D,17.0,17.0,0.3529411764705882,7.100000000000001,-0.5882352941176471,8.830000000000002,0.6470588235294118,2.9700000000000024,0.3600507438551554,-0.7058823529411765,4.700000000000003,0.4171312515121298,-1.7300000000000004,-1.7300000000000004,0.7771819953672852,-0.6188859664361426,0.9918627038080493,-0.020930174900203328,-1.0572153918959777,-0.16957023737518442,2.028776227632614,-0.047595143853559355,1.3204780797974394
2902399,2025-11-26,17:00,Copa LFPB,San Jose de Oruro,Nacional Potosi,2.35,3.4,2.63,2.4,3.4,2.6,0.75,0,1.05,2.0,3/3.5,1.8,A,13.0,13.0,0.4615384615384615,13.799999999999994,-0.5384615384615384,10.78,0.4615384615384615,3.0799999999999974,0.2914343243183204,-0.5384615384615384,20.729999999999997,0.2320575430148813,3.0199999999999942,-17.65,0.5234918673332016,-0.8520158890422783,0.0,-0.15350920542846988,0.0,1.4879443531811292,-1.7320508075688774,0.4742038033181327,0.07113057049771991
2837894,2025-11-26,17:30,Primera Division de Paraguay,Olimpia Asuncion,2 de Mayo PJC,1.95,3.2,3.8,1.7,3.3,5.0,1.0,0.5/1,0.8,2.0,2.5,1.8,D,21.0,21.0,0.7619047619047619,-3.810000000000007,-0.3333333333333333,8.089999999999998,0.8095238095238095,-0.960000000000006,0.3170748251182511,-0.4761904761904761,11.439999999999998,0.2480922525974644,-11.900000000000006,-12.400000000000004,0.5651670777157155,-0.8093528601084929,-0.8129722662980634,-0.8927333414641356,-1.531583144850123,-0.08967421619479235,-0.053926770395172206,-0.0676721190094239,0.4647733729011268
2903316,2025-11-26,18:30,Chile Primera B,D. Concepcion,CD Copiapo S.A.,2.2,3.4,2.9,2.5,3.25,2.6,0.95,0/0.5,0.85,1.9,2/2.5,1.9,H,14.0,12.0,0.5,8.57,0.1666666666666666,0.0,0.7857142857142857,17.099999999999998,0.3259026690286935,0.4166666666666667,-12.510000000000003,0.0148647094507734,8.57,29.61,0.3407673784794669,0.3264055503830411,1.219318074135721,-0.015095152835344162,1.2392874883473546,-1.3850935699459386,-0.8862603969225878,-0.728890439390885,-0.04869328079522521
2902055,2025-11-26,18:30,Categoria Primera A,Atletico Bucaramanga,Fortaleza F.C,1.75,3.4,5.0,1.8,3.3,4.75,0.8,0.5,1.0,1.95,2/2.5,1.85,A,21.0,21.0,0.7142857142857143,4.299999999999997,-0.6190476190476191,2.389999999999997,0.7619047619047619,9.039999999999996,0.2799923761135083,-0.8095238095238095,13.799999999999995,0.2799923761135083,1.9100000000000001,-4.76,0.5599847522270166,0.18681690724525835,0.8732853423886282,-0.1329198166644625,2.0445492153514246,0.25211522887488447,-1.8253565554852846,-0.473691813844603,0.8955591980060918
2901558,2025-11-26,19:30,Argentine Division 1,Lanus,Club Atletico Tigre,1.91,3.0,5.0,2.2,2.82,3.6,0.93,0/0.5,0.88,2.03,2,1.78,D,16.0,17.0,0.6875,3.1000000000000005,-0.5294117647058824,8.250000000000004,0.875,22.5,0.2127095754398804,-0.7058823529411765,14.669999999999998,0.3011663015105079,-5.150000000000003,7.830000000000002,0.5138758769503883,0.98180775118536,1.4209062960888708,0.28344096193492585,0.9943837448062997,0.4017999841566804,-0.8746955724218276,-0.43159778800544324,0.5119065999225739
2902400,2025-11-26,19:30,Copa LFPB,Bolivar,San Antonio Bulo Bulo,1.29,5.75,7.5,1.2,6.25,10.0,0.9,1.5/2,0.9,2.0,4,1.8,D,13.0,13.0,1.0,26.12,-0.9230769230769232,29.200000000000003,1.0,21.5,0.4676896608793401,-0.9230769230769232,21.5,0.1932574619052465,-3.080000000000002,0.0,0.6609471227845867,0.3542400742830156,-0.5773502691896287,1.161370935926507,-0.5773502691896293,0.9115095605503204,0.13672643408254806,1.6056889386115942,0.24085334079173912
2903296,2025-11-26,20:00,Primera Division Liga MX,FC Juarez,Toluca,3.4,3.5,2.1,3.1,3.4,2.15,0.9,0/-0.5,0.9,2.0,2.5/3,1.8,D,10.0,8.0,0.3,20.0,0.625,10.0,0.3,23.0,0.3126695474501863,0.625,22.5,0.2152125268244419,10.0,0.5,0.5278820742746282,0.8900199165630464,-1.1393704152769606,0.43920732477040947,0.76775936577381,0.7894528795110854,-1.6844381924840555,0.27635814289809807,-1.3904757470475897
2902054,2025-11-26,20:30,Categoria Primera A,Atletico Nacional Medellin,Atletico Junior Barranquilla,1.62,4.0,5.25,1.5,4.0,5.75,0.88,1,0.93,1.88,2.5/3,1.93,A,24.0,24.0,1.0,14.200000000000005,-0.2916666666666667,7.939999999999999,1.0,2.9199999999999964,0.4488997690689163,-0.4166666666666667,15.42,0.3170748251182511,6.260000000000006,-12.500000000000004,0.7659745941871674,-0.30470689477450996,0.654273235150773,0.7260801797465334,-1.4806270020874182,0.41309798628423816,1.5196094258160264,0.000467853811930413,-0.11785484923585589
2902766,2025-11-26,21:00,CONCACAF Central American Cup,Alajuelense,Xelaju MC,1.5,3.9,5.75,1.62,3.6,5.0,0.93,1,0.88,1.9,2.5,1.9,D,9.0,8.0,0.8888888888888888,4.399999999999995,-0.5,13.75,1.0,4.399999999999995,0.0632237623122272,-0.75,-27.5,0.5291051942301385,-9.350000000000005,31.899999999999995,0.5923289565423657,-0.5074680379332372,0.0,-0.774463668658832,0.0,-1.3039302864944393,0.0,0.3652818130844444,0.0
2899007,2025-11-26,22:10,Primera Division Liga MX,Monterrey,Club America,2.7,3.4,2.6,2.88,3.5,2.25,0.8,0/-0.5,1.0,1.88,2.5/3,1.93,D,8.0,9.0,0.75,35.0,0.5555555555555556,-22.24,0.875,1.25,0.2504542304090258,0.3333333333333333,-3.370000000000005,0.2666473457440296,57.239999999999995,4.6200000000000045,0.5171015761530554,-0.312404077099548,-0.527068252890004,1.0639418815559059,0.5297099815574308,-0.7720582480517811,-1.570060255901603,-1.542936040871194,-1.5993651486366003
