Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H,Odd_D,Odd_A
2025-08-16,01:00,J2 League  ,Consadole Sapporo,Blaublitz Akita,-18.55,17.859999999999992,0.8869300667002886,2.2,3.4,3.1
2025-08-16,03:00,NSW Premier League  ,Mt Druitt Town Rangers FC,Sydney United,9.949999999999992,-9.909999999999993,0.4795576270265752,3.6,3.7,1.75
2025-08-16,03:00,NSW Premier League  ,Sydney Olympic,Rockdale City Suns,10.079999999999998,12.77,0.6107384454034663,2.8,3.9,2.0
2025-08-16,04:00,NSW Premier League  ,Wollongong Wolves,Spirit FC,-20.720000000000002,-28.799999999999997,0.5601755113799765,2.7,3.7,2.1
2025-08-16,05:00,J1 League  ,Kashima Antlers,Avispa Fukuoka,13.619999999999996,30.230000000000004,0.3295163487540959,2.05,3.2,3.9
2025-08-16,05:00,J3 League  ,Kamatamare Sanuki,FC Gifu,-2.7299999999999986,12.739999999999998,0.4492991690553677,2.63,3.0,2.5
2025-08-16,05:00,J3 League  ,Giravanz Kitakyushu,Nara Club,-1.1900000000000013,0.9199999999999999,0.2887591798862525,1.95,3.3,3.4
2025-08-16,05:00,J2 League  ,Mito Hollyhock,Jubilo Iwata,4.02,15.940000000000003,0.6321768831055592,2.0,3.3,3.8
2025-08-16,05:00,J2 League  ,Kataller Toyama,Imabari FC,7.490000000000002,-32.68,0.3569530106754236,4.1,3.4,1.85
2025-08-16,05:00,J3 League  ,AC Nagano Parceiro,Vanraure Hachinohe FC,24.0,3.0,0.1860533307192307,4.1,3.5,1.7
2025-08-16,05:00,J3 League  ,Fukushima United FC,Tochigi City,7.820000000000002,-3.9599999999999973,0.6094827954194456,4.75,3.7,1.57
2025-08-16,05:30,J1 League  ,Shimizu S-Pulse,Yokohama Marinos,6.669999999999996,39.18000000000001,0.405440406534736,2.15,3.6,3.1
2025-08-16,06:00,K League 2  ,Chungbuk Cheongju,Hwaseong FC,-4.649999999999997,3.100000000000005,0.5253791228900667,2.4,3.2,2.7
2025-08-16,06:00,K League 2  ,Gimpo FC,Suwon Samsung Bluewings,-10.120000000000006,-19.409999999999993,0.6505513903729874,3.1,3.3,2.15
2025-08-16,06:00,J2 League  ,Montedio Yamagata,Iwaki FC,14.219999999999999,-26.34,0.5253791228900667,2.75,3.25,2.5
2025-08-16,06:00,J3 League  ,Matsumoto Yamaga FC,FC Ryukyu,-27.24,12.679999999999996,0.431749991831302,1.8,3.5,3.75
2025-08-16,06:00,J3 League  ,Kagoshima United,SC Sagamihara,-1.79,15.369999999999997,0.5166773493054755,1.75,3.5,3.8
2025-08-16,06:00,J3 League  ,Tochigi SC,Azul Claro Numazu,6.379999999999998,15.190000000000001,0.2656363869427242,1.9,3.3,3.6
2025-08-16,06:00,J3 League  ,Thespa Kusatsu,Osaka FC,14.169999999999996,-18.330000000000005,0.3255296332444486,3.5,3.5,1.85
2025-08-16,06:00,J3 League  ,Zweigen Kanazawa FC,Miyazaki,15.149999999999999,-20.35000000000001,0.5223749287025993,2.2,3.2,2.9
2025-08-16,06:00,J3 League  ,Gainare Tottori,Kochi United,26.040000000000003,36.400000000000006,0.5421389944759656,2.8,3.2,2.25
2025-08-16,06:00,J1 League  ,Vissel Kobe,Yokohama FC,-36.31999999999999,37.370000000000005,0.47334521759523474,1.53,3.8,6.5
2025-08-16,06:00,J1 League  ,Albirex Niigata,Kawasaki Frontale,7.500000000000002,-11.619999999999997,0.6390146713107456,4.1,3.6,1.85
2025-08-16,06:00,J1 League  ,Hiroshima Sanfrecce,Gamba Osaka,-23.24,6.5,0.4254191508797608,1.7,3.75,4.75
2025-08-16,06:00,J1 League  ,Shonan Bellmare,FC Tokyo,-7.500000000000002,-3.3900000000000023,0.4059670373451269,3.1,3.4,2.3
2025-08-16,06:00,J1 League  ,Kyoto Sanga,Tokyo Verdy,11.249999999999996,-0.870000000000001,0.3643718115811942,2.1,3.1,3.75
