Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT
2711795,2025-09-21,11:00,Norway Adeccoligaen  ,Kongsvinger,Egersunds IK,1.57,4.75,4.5,0.95,1,0.85,1.85,3/3.5,1.95,A,11.0,11.0,1.0,23.599999999999994,-0.6363636363636364,35.43,1.0,5.5,0.3967732199795652,-0.8181818181818182,41.8,0.1516622361413138,-11.830000000000004,-36.3,0.5484354561208791,2,1
2711797,2025-09-21,11:00,Norway Adeccoligaen  ,Lyn Oslo,Sogndal,1.9,3.9,3.6,0.88,0.5,0.93,1.93,3,1.88,A,11.0,11.0,0.4545454545454545,-7.240000000000002,-0.2727272727272727,32.7,0.4545454545454545,-3.6000000000000014,0.1205815986827429,-0.2727272727272727,17.229999999999993,0.2666473457440296,-39.940000000000005,-20.829999999999995,0.3872289444267724,2,1
2711798,2025-09-21,11:00,Norway Adeccoligaen  ,Stabaek,Raufoss,1.75,4.1,4.0,0.93,0.5/1,0.88,2.0,3/3.5,1.8,A,11.0,10.0,0.5454545454545454,-12.700000000000005,-0.8,13.0,0.4545454545454545,-19.070000000000004,0.2365895936154873,-0.8,23.0,0.3967732199795652,-25.700000000000003,-42.07000000000001,0.6333628135950525,3,0
2866565,2025-09-21,11:30,Finland Veikkausliga  ,IFK Mariehamn,Vaasa VPS,3.1,3.9,1.95,0.8,-0.5,1.0,1.98,3,1.83,D,12.0,11.0,-0.5,6.669999999999996,-0.3636363636363636,10.92,-0.6666666666666666,4.19,0.3195073356553728,-0.1818181818181818,8.190000000000001,0.4343497069897538,-4.250000000000004,-4.000000000000001,0.7538570426451265,2,1
2868912,2025-09-21,12:00,Uruguay Primera Division  ,Cerro Montevideo,Miramar Misiones FC,2.63,3.25,2.63,0.88,0,0.93,1.85,2,1.95,D,13.0,15.0,-0.1538461538461538,17.71,-0.8666666666666667,23.99,-0.1538461538461538,8.470000000000002,0.3537967768916372,-1.0,0.0,0.3876400468214041,-6.279999999999998,8.470000000000002,0.7414368237130413,1,0
2711551,2025-09-21,13:15,Norway Eliteserien  ,Viking,Molde,1.75,4.0,4.2,0.9,0.5/1,0.9,1.95,3/3.5,1.85,H,10.0,10.0,0.9,0.0,0.2,6.0,0.8,20.0,0.3541973474990897,0.0,10.0,0.3541973474990897,-6.0,10.0,0.7083946949981794,1,0
2776192,2025-09-21,13:30,Argentine Division 1  ,Independiente,San Lorenzo,2.1,2.9,4.2,1.05,0/0.5,0.75,1.83,1.5/2,1.98,A,12.0,13.0,0.9230769230769232,-6.890000000000001,-0.4615384615384615,7.699999999999997,1.0,15.01,0.1681775812035096,-0.4615384615384615,18.419999999999995,0.2127095754398804,-14.589999999999996,-3.409999999999995,0.38088715664339,1,1
2710481,2025-09-21,14:00,Argentine Division 2  ,Almirante Brown,Defensores de Belgrano,2.45,2.9,3.1,0.9,0,0.9,2.0,1.5/2,1.8,A,15.0,15.0,0.1333333333333333,3.3299999999999965,-0.3333333333333333,7.309999999999996,0.2,-5.330000000000004,0.2480922525974644,-0.6,26.700000000000003,0.4171312515121298,-3.98,-32.03000000000001,0.6652235041095942,1,2
2873133,2025-09-21,14:00,Peru Primera Division  ,FBC Melgar,Los Chankas,1.36,5.25,6.25,0.95,1.5,0.85,2.0,3.5,1.8,A,13.0,13.0,0.8461538461538461,16.109999999999996,-0.7692307692307693,16.109999999999996,0.9230769230769232,-16.900000000000006,0.1268049716161809,-0.9230769230769232,23.81,0.4236888781333764,0.0,-40.71000000000001,0.5504938497495573,6,1
2710482,2025-09-21,14:30,Argentine Division 2  ,Alvarado Mar del Plata,Los Andes,2.45,2.88,3.2,0.98,0,0.83,1.78,1.5,2.03,D,15.0,15.0,0.2,-8.7,-0.9333333333333332,15.309999999999995,0.3333333333333333,-0.7000000000000064,0.3011663015105079,-1.0,0.0,0.3011663015105079,-24.009999999999994,-0.7000000000000064,0.6023326030210158,1,0
2710490,2025-09-21,14:30,Argentine Division 2  ,Defensores Unidos,Nueva Chicago,3.2,2.6,2.63,0.83,0/-0.5,0.98,1.93,1.5/2,1.88,D,6.0,15.0,0.0,-8.3,-0.7333333333333333,14.67,-0.1666666666666666,-30.010000000000005,0.4364905634363539,-0.8666666666666667,8.669999999999996,0.3259026690286935,-22.97,-38.68,0.7623932324650474,0,0
2868913,2025-09-21,14:30,Uruguay Primera Division  ,CA River Plate,Racing Club Montevideo,3.3,3.25,2.1,0.8,-0.5,1.0,2.05,2/2.5,1.75,D,14.0,14.0,-0.3571428571428571,-17.9,0.0714285714285714,7.149999999999999,-0.5,-9.27,0.1634449073720273,-0.0714285714285714,12.13,0.2320575430148813,-25.05,-21.4,0.3955024503869085,2,3
2710485,2025-09-21,15:00,Argentine Division 2  ,Atletico Mitre de Santiago del Estero,Talleres Rem de Escalada,1.62,3.4,6.0,0.8,0.5,1.0,1.8,1.5,2.0,D,15.0,15.0,0.5333333333333333,1.309999999999997,-0.8,6.0,0.7333333333333333,-7.300000000000001,0.2480922525974644,-1.0,-17.990000000000002,0.2138050993040052,-4.690000000000003,10.69,0.4618973519014696,2,0
