Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_OP,Odd_D_OP,Odd_A_OP,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_H,MT_H,M_HT_H,MT_HT_H,M_A,MT_A,M_HT_A,MT_HT_A
2911229,2026-01-07,10:00,Greece Cup,OFI Crete,Asteras Tripolis,2.55,3.1,2.8,2.5,3.25,2.75,0.83,0,0.98,1.8,2/2.5,2.0,D,7.0,8.0,0.0,7.149999999999999,-0.75,10.0,0.0,2.899999999999995,0.3589290901482126,-0.625,10.0,0.0714776888580276,-2.8500000000000014,-7.100000000000005,0.43040677900624025,0.0,0.0,0.0,0.0,-1.5581577044449573,0.0,-1.1871575228988887,0.0
2865203,2026-01-07,11:00,Spain Segunda Division RFEF,Torrent C.F,UD Poblense,2.87,2.75,2.5,2.9,2.9,2.3,1.03,0,0.78,1.83,2,1.98,A,6.0,5.0,0.5,-6.700000000000006,-0.6,40.0,0.5,-18.330000000000005,0.230719932208837,-0.8,40.0,0.3755282641185388,-46.7,-58.330000000000005,0.6062481963273758,-0.9811201782491544,0.050756997488680074,-0.3671191541579966,-1.2024917592708884,1.1086378412602385,-1.4142135623730951,1.102085908897116,-1.4142135623730951
2865196,2026-01-07,12:00,Spain Segunda Division RFEF,Barcelona B,Valencia CF Mestalla,1.75,3.6,3.75,1.67,3.6,4.2,0.9,0.5/1,0.9,1.95,2.5/3,1.85,H,7.0,6.0,1.0,31.4,-0.5,26.700000000000003,1.0,31.4,0.2504542304090258,-0.8333333333333334,15.01,0.3755282641185388,4.699999999999996,16.39,0.6259824945275646,0.6682920875362939,-1.417182668289376,1.1944719899921123,0.5733967383251308,0.2540990905197763,-0.4486821633858418,0.6190334903520448,0.4553590653445423
2784662,2026-01-07,12:30,Italian Serie A,Bologna,Atalanta,3.0,3.3,2.37,3.1,3.25,2.25,0.85,0/-0.5,1.0,1.8,2/2.5,2.05,H,7.0,8.0,0.7142857142857143,-17.120000000000005,0.625,-15.0,0.5714285714285714,17.099999999999998,0.1876128068994087,0.5,-2.5,0.136841759461521,-2.1200000000000045,19.599999999999998,0.32445456636092973,0.5755071013119445,-1.4233630183318797,-1.0517093857383215,0.13647429550419868,-0.9382279035278348,-1.2838417432127531,-1.025535809953782,-1.2838417432127531
2784667,2026-01-07,12:30,Italian Serie A,Napoli,Verona,1.3,5.0,11.0,1.44,3.8,8.5,0.78,1,1.1,1.93,2/2.5,1.93,D,7.0,8.0,0.5714285714285714,17.099999999999998,-0.75,17.5,0.8571428571428571,2.899999999999995,0.3589290901482126,-0.875,1.25,0.2152125268244419,-0.40000000000000213,1.649999999999995,0.5741416169726545,-0.4642949459931682,1.4874199901802834,0.2380341679732931,0.7186623992322486,-0.4519759312804527,0.06600244868346725,0.4715573382312254,1.4663773084678373
2909909,2026-01-07,14:00,Spain Supercopa de Espana,FC Barcelona,Athletic Bilbao,1.55,4.33,5.25,1.5,4.33,5.75,0.83,1,1.03,1.95,3,1.9,H,9.0,8.0,1.0,15.599999999999998,-0.125,3.75,1.0,22.26,0.3057378545838018,0.0,-15.0,0.136841759461521,11.849999999999998,37.260000000000005,0.4425796140453228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2789336,2026-01-07,14:30,English Premier League,Manchester City,Brighton Hove Albion,1.5,4.5,5.75,1.42,4.5,7.0,0.85,1/1.5,1.0,1.9,3/3.5,1.95,H,9.0,9.0,1.0,26.700000000000003,-0.3333333333333333,-25.57,1.0,37.8,0.1876128068994087,-0.3333333333333333,4.399999999999995,0.188775429471914,52.27,33.400000000000006,0.3763882363713227,0.8490714543482489,0.3040553207225076,0.6185951356760194,1.5505945626302964,0.015470986073576994,1.09357592143242,-1.206950361803688,0.992474513822111
2789335,2026-01-07,14:30,English Premier League,Fulham,Chelsea,3.7,3.5,2.0,3.4,3.5,2.1,1.03,0/-0.5,0.83,2.03,2.5/3,1.83,H,9.0,9.0,0.2222222222222222,11.099999999999996,0.5555555555555556,-3.370000000000005,0.2222222222222222,26.700000000000003,0.188775429471914,0.7777777777777778,7.769999999999995,0.3057378545838018,14.47,18.930000000000007,0.4945132840557158,0.3682883456616982,-1.3977641441637465,-0.418278181394849,-0.918443883860441,0.28025082862720346,0.3186795864448843,-0.03701746810484476,0.9849794805048918
2789334,2026-01-07,14:30,English Premier League,Everton,Wolves,1.85,3.5,4.33,1.67,3.6,5.5,0.88,0.5/1,0.98,1.83,2/2.5,2.03,H,9.0,9.0,0.2222222222222222,7.769999999999995,-0.8888888888888888,4.399999999999995,0.1111111111111111,15.599999999999998,0.188775429471914,-1.0,7.769999999999995,0.0714776888580276,3.37,7.830000000000003,0.2602531183299416,0.10289606966672214,-1.0166084725223403,-0.254155947778489,-0.9819802105393158,0.17481171275316995,0.4270687289159903,0.1003907576651534,0.8832246197548373
2789330,2026-01-07,14:30,English Premier League,AFC Bournemouth,Tottenham Hotspur,2.2,3.6,3.1,2.0,3.7,3.4,1.03,0.5,0.83,1.88,2.5/3,1.98,D,9.0,8.0,0.6666666666666666,-4.884981308350689e-15,-0.375,1.25,0.5555555555555556,18.93,0.1205815986827429,-0.375,35.0,0.5291051942301385,-1.2500000000000049,-16.07,0.6496867929128813,0.5125232782676634,-1.4535021673848836,-0.418278181394849,-1.6968993774802352,1.462303697170178,-1.2592054082145911,-0.03701746810484476,0.24380719139307647
