Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_HT_A,M_H,M_A,Odd_H,Odd_D,Odd_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2025-09-10,13:00,Finland Suomen Cup  ,KuPs,Jaro,11.829999999999998,-3.639999999999997,0.5219743580951468,1.2261166951190767,0.31520348350418187,1.3406116865072841,1.1072061476453654,1.38,4.5,6.5,0.9109132116148948,0.23340553886191873,Home,Home
2025-09-10,14:30,Uruguay Cup  ,Racing Club Montevideo,Boston River,3.810000000000004,-20.839999999999996,0.28978007603867506,1.1784413937149705,-1.4067602529292305,0.0016627247868632215,0.8950776795703603,2.7,3.2,2.7,2.585201646644201,0.8934149547834971,Home,Away
2025-09-10,16:30,Ecuador Campeonato Serie B  ,Atletico Vinotinto,CD Vargas Torres,16.25,17.5,0.5674868013652159,-0.44751470489114975,-0.24587434691845592,-2.8964042473508718,0.8567147510891169,1.7,3.3,4.75,0.20164035797269383,3.7531189984399886,Away,Away
2025-09-10,16:30,Ecuador Campeonato Serie B  ,22 de Julio,Chacaritas SC,8.75,58.75,0.1176182311592532,-0.8030680606036747,0.11360645342936644,-1.6533492795002256,-0.6576717162923673,1.57,3.7,4.75,0.9166745140330412,0.9956775632078583,Away,Away
2025-09-10,18:00,Copa do Brasil  ,Fluminense RJ,Bahia,1.7699999999999951,17.700000000000003,0.5423274481992891,-0.604740139601872,0.09560450013717965,0.4589134623934203,0.5159674626158567,2.0,3.4,3.75,0.7003446397390517,0.057054000222436396,Away,Away
2025-09-10,18:00,Colombia Primera B  ,Inter Palmira,Leones,-3.7000000000000064,15.669999999999996,0.3819826805075148,0.28609914733427766,-0.39464877443242957,0.2955365711581514,-1.4837883589957785,1.42,4.1,6.25,0.6807479217667072,1.77932493015393,Home,Home
2025-09-10,19:30,Uruguay Cup  ,CA Penarol,Liverpool URU,5.2700000000000005,2.8099999999999987,0.3862100924948257,0.26309968108582055,-0.09843781591384279,0.9991903492774179,0.7558598773904355,2.0,3.4,3.4,0.3615374969996633,0.24333047188698242,Home,Home
2025-09-10,20:00,Ecuador Campeonato Serie B  ,SC Imbabura,Cumbaya FC,-9.099999999999998,0.0,0.31983981734482336,-0.34296348580564523,-0.5064979271706267,-1.454470534562756,-0.13831912565976462,1.91,3.1,3.9,0.16353444136498146,1.3161514089029913,Home,Away
2025-09-10,20:30,Copa do Brasil  ,Corinthians Paulista (SP),Atletico Paranaense,-48.75,-10.669999999999996,0.818610988359357,-1.7216137554667512,0.509125535697889,-0.1088131067504989,0.3420008725112138,1.91,3.2,4.75,2.23073929116464,0.45081397926171274,Away,Away
2025-09-10,20:30,Categoria Primera A  ,Millonarios,Deportivo Pasto,1.6099999999999954,-1.6800000000000046,0.39975448873877817,-0.9947656970367625,-0.6497779070066865,-0.19200963669211843,-0.9826604482786626,1.57,3.7,5.75,0.34498779003007607,0.7906508115865442,Away,Home
2025-09-10,21:00,USL Championship  ,New Mexico United,Detroit City,-6.08,3.6000000000000014,0.3404376656132278,-0.3521093413345867,-0.7006283048544412,0.3756140904753957,-0.11919351267824196,2.3,3.2,2.9,0.34851896351985445,0.49480760315363764,Home,Home
