Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Diff_HT_P,Diff_Power,OU_Total
26-07-2025,02:00,NSW Premier League  ,Sutherland Sharks,Wollongong Wolves,2.9,3.7,2.0,2.4266666666666623,-22.550000000000004,6.74
26-07-2025,03:00,NSW Premier League  ,Sydney Olympic,St George City FA,2.1,3.5,2.88,-19.02257575757576,-0.6542424242424243,9.859999999999996
26-07-2025,03:00,NSW Premier League  ,Mt Druitt Town Rangers FC,A.P.I.A. Leichhardt Tigers,6.25,4.75,1.36,1.0239393939393935,-6.88772727272727,-26.88
26-07-2025,04:00,Chinese Football Association Yi League  ,Hubei Istar,Jiangxi Liansheng FC,4.1,3.1,1.8,-23.53,-36.90111111111111,4.779999999999999
26-07-2025,04:00,Chinese Football Association Yi League  ,Hangzhou Linping Wuyue,Wuxi Wugou,3.1,2.8,2.3,4.854444444444445,-5.186666666666664,4.059999999999999
26-07-2025,04:00,Chinese Football Association Yi League  ,Shandong Taishan B,Yan An Ronghai,1.3,4.5,7.5,32.03,26.040000000000003,1.719999999999997
26-07-2025,04:00,Chinese Football Association Yi League  ,Shanghai Port B,Lanzhou Longyuan Athletics,1.83,3.1,4.0,-43.44666666666667,-24.084444444444447,24.16
26-07-2025,04:00,Chinese Football Association Yi League  ,Haimen Codion,Changchun XIdu Football Club,1.73,3.2,4.5,6.0600000000000005,-2.879999999999999,-8.34
26-07-2025,04:00,Chinese Football Association Yi League  ,Bei Li Gong,Taian Tiankuang,2.15,2.88,3.3,6.0200000000000005,0.05000000000000071,-15.520000000000001
26-07-2025,05:00,NSW Premier League  ,Marconi Stallions,Spirit FC,1.9,3.3,3.5,-18.938181818181818,-40.760000000000005,-18.540000000000006
26-07-2025,05:00,J3 League  ,SC Sagamihara,Miyazaki,2.6,3.1,2.45,15.04,-26.880000000000003,-30.080000000000002
26-07-2025,05:00,J3 League  ,Tochigi City,Tochigi SC,1.73,3.25,4.5,9.07,42.07,-4.700000000000003
26-07-2025,05:00,J3 League  ,Matsumoto Yamaga FC,FC Gifu,2.25,3.4,2.7,-17.94,21.049999999999997,4.399999999999999
26-07-2025,05:00,J3 League  ,Nara Club,Zweigen Kanazawa FC,2.9,3.25,2.15,0.7284848484848503,28.640303030303034,1.7999999999999972
26-07-2025,05:00,J3 League  ,Kochi United,Fukushima United FC,1.83,3.8,3.3,-31.23636363636364,-5.065454545454548,16.8
26-07-2025,05:00,J3 League  ,Osaka FC,Kamatamare Sanuki,1.6,3.6,5.0,8.241818181818184,26.770909090909097,-35.5
26-07-2025,05:00,J3 League  ,Azul Claro Numazu,Giravanz Kitakyushu,2.45,3.1,2.55,-31.10090909090909,7.88909090909091,-16.600000000000005
26-07-2025,05:00,J3 League  ,FC Ryukyu,AC Nagano Parceiro,2.25,3.2,2.8,-3.1372727272727303,-2.100000000000003,-51.4
26-07-2025,05:30,J3 League  ,Vanraure Hachinohe FC,Gainare Tottori,1.62,3.5,4.75,10.987272727272725,51.93454545454545,-1.8299999999999983
26-07-2025,06:00,K League 1  ,Gwangju Football Club,Jeonbuk Hyundai Motors,3.2,3.4,2.25,-21.79181818181818,-33.40378787878788,1.200000000000003
26-07-2025,06:00,K League 1  ,Gimcheon Sangmu FC,Jeju SK FC,1.91,3.6,3.7,-29.812727272727276,-7.945454545454536,-36.8
26-07-2025,06:00,K League 1  ,Suwon FC,FC Anyang,2.3,3.4,3.0,-8.06636363636364,19.101818181818174,29.799999999999997
26-07-2025,06:00,K League 2  ,Chungnam Asan,Hwaseong FC,1.7,3.7,4.75,3.099999999999998,15.09,-4.600000000000001
26-07-2025,06:00,K League 2  ,Chungbuk Cheongju,Gimpo FC,3.25,3.25,2.2,9.989999999999998,-20.07,-6.0
26-07-2025,06:00,K League 2  ,Busan I Park,Bucheon FC 1995,2.7,3.4,2.5,-16.366363636363634,-29.15818181818182,18.2
26-07-2025,06:00,K League 2  ,Cheonan City,Gyeongnam FC,2.5,3.4,2.7,-8.989999999999998,9.01,-4.600000000000001
26-07-2025,06:00,J3 League  ,Thespa Kusatsu,Kagoshima United,3.3,3.5,1.9,3.1881818181818193,-4.946363636363634,-15.900000000000002
26-07-2025,06:00,Chinese Football Association Jia League  ,Yanbian Longding,Liaoning Tieren,3.4,3.25,1.95,25.599722222222226,41.41111111111111,-10.599999999999998
26-07-2025,07:00,Chinese Football Association Jia League  ,ShanXi Union,Foshan Nanshi,1.6,3.5,5.0,-26.262857142857143,5.341428571428565,22.8
26-07-2025,07:00,Chinese Super League  ,Shanghai Port,Qingdao Youth Island,1.3,6.0,8.0,14.073888888888888,-19.22611111111111,-5.09
26-07-2025,07:30,Chinese Football Association Jia League  ,Shijiazhuang Kungfu,Shanghai Jiading Huilong,1.62,3.25,6.0,14.930833333333332,9.901944444444442,-3.530000000000001
26-07-2025,07:30,Chinese Football Association Jia League  ,Chongqing Tonglianglong,ShenZhen Juniors,1.2,5.25,11.0,-2.50583333333333,7.097500000000002,20.91
26-07-2025,07:35,Chinese Super League  ,Chengdu Rongcheng FC,Beijing Guoan,2.0,3.75,3.3,0.04999999999999716,-22.437500000000004,-34.24
26-07-2025,08:00,Chinese Super League  ,Yunnan Yukun,Shenzhen Xinpengcheng,1.73,3.9,4.5,6.850714285714282,37.88321428571429,31.199999999999996
26-07-2025,08:00,Finland Veikkausliga  ,FC Haka,KTP Kotka,1.75,3.7,4.1,-28.4825,0.08749999999999947,52.6
26-07-2025,09:00,Finland Veikkausliga  ,IFK Mariehamn,AC Oulu,2.9,3.2,2.3,-13.391111111111107,11.48055555555556,25.900000000000002
26-07-2025,09:00,Sweden Superettan  ,IK Oddevold,Sandvikens IF,2.35,3.3,2.8,-17.639166666666668,-7.4375,32.6
26-07-2025,09:00,Swedish Allsvenskan  ,Brommapojkarna,Malmo FF,3.5,3.9,1.9,-20.697499999999998,-16.915714285714287,-28.9
26-07-2025,09:00,Swedish Allsvenskan  ,GAIS,Halmstads,1.36,5.0,8.0,7.662500000000001,16.56285714285714,-14.299999999999999
26-07-2025,09:00,Sweden Superettan  ,GIF Sundsvall,Orebro,2.2,3.2,3.1,-6.604444444444443,9.87277777777778,14.7
26-07-2025,10:00,Latvian Higher League  ,Super Nova,Grobina,2.1,3.4,3.0,2.379230769230773,7.431923076923081,-28.580000000000002
26-07-2025,10:00,Iceland Division 1  ,Volsungur husavik,UMF Selfoss,2.5,3.25,2.4,6.20607142857142,25.884166666666673,11.9
26-07-2025,11:00,Sweden Superettan  ,IK Brage,Umea FC,1.65,3.9,4.5,11.4125,-13.408571428571431,28.2
26-07-2025,11:30,Swedish Allsvenskan  ,Degerfors IF,IFK Norrkoping FK,2.1,3.6,3.25,-32.6525,-44.9,9.000000000000004
26-07-2025,12:00,Latvian Higher League  ,FK Rigas Futbola skola,Tukums-2000,1.13,7.5,12.0,-5.731410256410253,-3.134475524475521,-21.250000000000004
26-07-2025,12:30,Chile Primera B  ,Deportes Santa Cruz,San Luis Quillota,2.1,3.6,2.9,-7.4499999999999975,-4.219999999999999,15.700000000000001
26-07-2025,12:30,Chile Primera B  ,Union San Felipe,Deportes Temuco,2.3,3.4,2.88,13.375555555555557,-11.212500000000002,14.7
26-07-2025,13:30,Argentine Division 1  ,Aldosivi Mar del Plata,Newells Old Boys,2.63,2.9,3.0,-14.969999999999999,-16.684444444444445,24.0
26-07-2025,13:45,Argentine Division 2  ,Tristan Suarez,Los Andes,2.2,3.0,3.5,3.5762121212121176,9.219999999999999,15.629999999999995
26-07-2025,14:00,Argentine Division 2  ,Deportivo Madryn,Patronato Parana,1.8,3.2,5.0,-11.6,-9.258181818181814,50.60000000000001
26-07-2025,14:00,Peru Primera Division  ,Alianza Universidad,Ayacucho Futbol Club,1.8,3.5,4.33,3.1099999999999994,-19.925555555555558,-20.0
26-07-2025,14:30,Argentine Division 2  ,All Boys,Almagro,2.2,2.7,4.1,-35.05833333333333,-9.446363636363635,11.239999999999998
26-07-2025,14:30,Argentine Division 2  ,Talleres Rem de Escalada,Defensores de Belgrano,3.9,3.1,2.05,-12.441666666666661,-46.29272727272728,13.099999999999994
26-07-2025,15:00,Primera Division de Paraguay  ,Sportivo Trinidense,Clud Libertad,3.4,3.25,2.1,-7.006923076923075,12.490000000000006,-28.580000000000002
26-07-2025,15:00,Colombia Primera B  ,Real Soacha Cundinamarca,Real Santander,1.73,3.3,5.25,4.842735042735047,-4.017500000000004,-23.8
26-07-2025,15:00,Chile Primera B  ,Curico Unido,Santiago Morning,1.75,3.6,4.2,-40.931111111111115,-33.7375,8.600000000000001
