Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H,Odd_D,Odd_A
2025-08-18,12:00,Latvia Cup  ,FK Auda Riga,Super Nova,18.710000000000008,-20.229999999999997,0.31521230570972936,1.45,4.33,5.25
2025-08-18,12:00,Finland Veikkausliga  ,Jaro,SJK Seinajoen,43.31999999999999,0.0,0.6759172248466188,3.4,4.0,1.9
2025-08-18,13:00,Norway Adeccoligaen  ,Asane Fotball,Raufoss,-2.650000000000004,-7.32,0.5209503814082437,2.15,3.4,3.25
2025-08-18,13:00,Swedish Allsvenskan  ,IFK Varnamo,Degerfors IF,8.600000000000005,3.370000000000005,0.7652528911229917,2.2,3.6,3.0
2025-08-18,13:00,Norway Adeccoligaen  ,Aalesund FK,Ranheim IL,-19.470000000000006,16.700000000000003,0.3469923517345408,1.62,4.33,4.5
2025-08-18,13:00,Norway Adeccoligaen  ,Kongsvinger,Mjondalen IF,-11.100000000000005,11.200000000000003,0.7634672266016789,1.27,6.0,8.5
2025-08-18,13:00,Norway Adeccoligaen  ,Stabaek,Sogndal,-33.400000000000006,-41.17,0.6646669447320144,2.15,4.0,2.88
2025-08-18,13:00,Argentine Division 2  ,Agropecuario de Carlos Casares,Atletico Mitre de Santiago del Estero,-20.4,19.619999999999997,0.6075749472850593,2.2,2.8,3.9
2025-08-18,14:30,Argentine Division 2  ,Defensores de Belgrano,Defensores Unidos,-46.76,-19.8,0.5320458643564099,1.62,3.5,6.25
2025-08-18,14:30,Argentine Division 2  ,Nueva Chicago,Central Norte Salta,-15.690000000000005,2.719999999999996,0.5838750493028604,2.1,2.8,4.33
2025-08-18,18:00,Brazil Serie B  ,Volta Redonda,CRB AL,-14.399999999999999,29.970000000000002,0.27843628913666907,2.38,3.0,3.3
2025-08-18,18:00,Uruguay Primera Division  ,Cerro Largo,Danubio FC,-8.34,-5.81,0.36143504310875607,2.3,3.1,3.2
2025-08-18,18:00,Argentine Division 1  ,Sarmiento Junin,Atletico Tucuman,-16.93,12.700000000000006,0.3841472363082139,3.0,2.8,2.7
2025-08-18,18:15,Categoria Primera A  ,Atletico Junior Barranquilla,Atletico Bucaramanga,-4.529999999999994,-16.899999999999995,0.5862548905139711,1.75,3.4,4.75
2025-08-18,19:00,Colombia Primera B  ,Atletico Huila,Bogota FC,-2.8500000000000014,9.27,0.6801229585862167,1.53,3.9,6.0
2025-08-18,19:00,Brazil Serie A  ,Mirassol,Cruzeiro,-21.01,28.57,0.4765473213074658,3.0,3.25,2.4
2025-08-18,20:00,Argentine Division 1  ,Talleres Cordoba,San Martin San Juan,-67.8,-23.299999999999994,0.2314013435157368,1.75,3.3,5.25
2025-08-18,20:00,Primera Division de Ecuador  ,Deportivo Cuenca,Vinotinto de Ecuador,-8.299999999999997,-8.299999999999997,0.5587951686011234,1.75,3.5,4.5
2025-08-18,20:00,Brazil Serie B  ,Athletic Club MG,Criciuma,-28.0,-30.0,0.5733323228978748,2.3,3.1,3.3
2025-08-18,20:30,Categoria Primera A  ,Deportivo Pasto,Dep.Independiente Medellin,21.629999999999992,16.630000000000003,0.3831437538862904,3.9,2.9,2.1
