Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2850760,2025-09-29,05:00,Chinese Football Association Yi League  ,Wuxi Wugou,Guizhou Zhucheng Jingji FC,1.7,3.3,4.33,0.9,0.5,0.9,1.95,2/2.5,1.85,A,11.0,10.0,0.9090909090909092,-0.8700000000000009,0.4,6.0,1.0,-9.970000000000002,0.0162317522628259,0.4,10.0,0.2666473457440296,-6.870000000000001,-19.970000000000002,0.2828790980068555,-0.2712500059568991,-1.0114855000437364,0.01933044959950452,-0.8972563557670415,0.2905804555564036,0.11422914427669484,Away,Away
2850824,2025-09-29,07:00,Chinese Football Association Yi League  ,Ganzhou Ruishi,Yan An Ronghai,2.1,2.87,3.4,0.9,0/0.5,0.9,1.8,2,2.0,A,9.0,10.0,0.0,7.769999999999995,-0.7,-7.0,0.1111111111111111,7.769999999999995,0.1205815986827429,-0.7,-7.0,0.0632237623122272,14.769999999999996,14.769999999999996,0.1838053609949701,0.34715599831381017,0.5909936227180551,-1.300208670595175,-1.4793443548769583,1.6473646689089851,2.0703379775950133,Home,Home
2732566,2025-09-29,11:00,Latvian Higher League  ,BFC Daugavpils,Riga FC,7.5,5.5,1.25,0.8,-2,1.0,1.95,3/3.5,1.85,D,14.0,15.0,0.2142857142857142,17.099999999999998,0.8666666666666667,26.0,0.2142857142857142,38.6,0.2320575430148813,0.8666666666666667,17.33,0.2480922525974644,-8.900000000000002,21.270000000000003,0.4801497956123457,1.431161207021796,1.5324274974280587,2.328270535008848,1.9136613072923385,0.8971093279870521,0.3812338098642798,Away,Away
2792620,2025-09-29,11:00,Poland Liga 1  ,Pogon Grodzisk Mazowiecki,LKS Lodz,2.88,3.6,2.2,0.83,0/-0.5,0.98,1.83,3,1.98,H,5.0,5.0,0.6,20.0,0.0,-34.0,0.4,20.0,0.3755282641185388,0.2,-40.0,0.3755282641185388,54.0,60.0,0.7510565282370776,0.5113790903137162,1.08505090014758,,,,,Even,Even
2794957,2025-09-29,11:00,Czech Republic 2.Liga  ,Marila Pribram,FK MAS Taborsko,3.25,3.5,1.95,0.8,-0.5,1.0,1.88,2.5,1.93,A,5.0,5.0,-0.6,6.0,0.0,46.0,-0.6,6.0,0.1176182311592532,0.2,60.0,0.3755282641185388,-40.0,-54.0,0.493146495277792,,,,,,,Even,Even
2866538,2025-09-29,12:00,Finland Veikkausliga  ,HJK Helsinki,Ilves Tampere,2.25,3.7,2.75,1.0,0/0.5,0.8,1.95,3.5,1.85,H,11.0,12.0,0.8181818181818182,17.229999999999993,0.6666666666666666,-1.690000000000003,0.9090909090909092,23.599999999999994,0.5230138624217553,0.5,12.489999999999997,0.3906175873976139,18.919999999999995,11.109999999999998,0.9136314498193692,1.13493564804326,1.4317146346146674,-0.18947128124360585,0.280973836363837,1.3244069292868659,1.1507407982508304,Home,Home
2877042,2025-09-29,12:00,Lithuania - 1.Division  ,Suduva,FK Zalgiris Vilnius,2.88,3.1,2.2,0.83,0/-0.5,0.98,1.9,2.5,1.9,H,14.0,13.0,0.3571428571428571,11.439999999999998,0.6153846153846154,-12.28,0.4285714285714285,26.43,0.2320575430148813,0.7692307692307693,-9.200000000000005,0.2914343243183204,23.72,35.63,0.5234918673332016,1.1493569157053638,1.7191987970144984,-2.2027101042387165,-2.6331013317686685,3.35206701994408,4.352300128783167,Home,Home
2703081,2025-09-29,13:00,Swedish Allsvenskan  ,Djurgardens,IK Sirius FK,1.68,3.9,4.2,0.8,0.5,1.0,1.85,2.5/3,1.95,D,12.0,12.0,0.5833333333333334,4.19,-0.6666666666666666,28.33,0.75,-15.8,0.0974588057392146,-0.5833333333333334,12.489999999999997,0.4343497069897538,-24.139999999999997,-28.29,0.5318085127289683,0.41980151058987586,-0.7526325283627949,1.1991458374661752,0.01228783826713016,0.7793443268762994,0.7649203666299251,Away,Away
2703394,2025-09-29,13:00,Sweden Superettan  ,Helsingborg,Trelleborgs FF,1.95,3.7,3.5,0.98,0.5,0.83,1.83,2.5,1.98,D,12.0,12.0,0.5833333333333334,-1.690000000000003,-0.5833333333333334,4.19,0.5833333333333334,-4.170000000000004,0.1932574619052465,-0.6666666666666666,-20.81,0.3195073356553728,-5.8800000000000034,16.639999999999993,0.5127647975606193,0.3649264672797308,0.22435756326897047,-0.4806983418539416,-1.0092011206063987,0.8456248091336724,1.2335586838753692,Home,Home
2703397,2025-09-29,13:00,Sweden Superettan  ,GIF Sundsvall,Umea FC,1.73,4.0,4.2,0.95,0.5/1,0.85,1.85,2.5,1.95,D,12.0,12.0,-0.0833333333333333,5.809999999999996,-1.0,-15.0,0.0,-9.99,0.1932574619052465,-1.0,-4.170000000000004,0.2800877556899882,20.809999999999995,-5.819999999999996,0.47334521759523474,0.30675522228942487,-0.285542457625832,-2.0979743356751883,-0.88485052917246,2.4047295579646133,0.5993080715466279,Home,Home
2703398,2025-09-29,13:00,Sweden Superettan  ,Utsiktens BK,IK Brage,2.45,3.5,2.7,0.8,0,1.0,1.85,2.5/3,1.95,D,12.0,12.0,-0.25,19.99,-0.5833333333333334,4.19,-0.1666666666666666,20.83,0.3537967768916372,-0.75,43.3,0.3195073356553728,15.799999999999997,-22.47,0.6733041125470101,1.8872514188944745,0.8398855421407218,-1.0062223627716853,1.5387942679068876,2.8934737816661595,0.6989087257661658,Home,Away
2711555,2025-09-29,13:00,Norway Eliteserien  ,Haugesund,Sandefjord,5.0,4.5,1.55,0.88,-1,0.93,2.0,3/3.5,1.8,D,11.0,10.0,-0.6363636363636364,-7.240000000000002,-0.6,16.0,-0.9090909090909092,-12.700000000000005,0.3126695474501863,-0.7,-24.0,0.2666473457440296,-23.240000000000002,11.299999999999995,0.5793168931942159,-0.7055204952890187,-0.7645945788829029,0.6177761151194351,-1.24894083257421,1.3232966104084538,0.484346253691307,Away,Home
2711801,2025-09-29,13:00,Norway Adeccoligaen  ,Hodd,Lyn Oslo,3.4,3.5,2.0,0.8,-0.5,1.0,1.9,2.5/3,1.9,D,11.0,11.0,0.0,17.229999999999993,-0.2727272727272727,35.43,0.0,14.499999999999996,0.2800877556899882,-0.3636363636363636,32.7,0.2666473457440296,-18.200000000000006,-18.200000000000006,0.5467351014340178,1.2802580532030354,1.3118312649688249,1.9530432579236787,0.5548750298614649,0.6727852047206433,0.75695623510736,Away,Home
2711803,2025-09-29,13:00,Norway Adeccoligaen  ,Moss,Lillestrom,6.25,5.0,1.4,1.0,-1/1.5,0.8,1.95,3/3.5,1.85,D,11.0,12.0,0.4545454545454545,26.329999999999995,0.8333333333333334,12.489999999999997,0.6363636363636364,26.329999999999995,0.5230138624217553,1.0,20.83,0.3126695474501863,13.839999999999998,5.4999999999999964,0.8356834098719417,1.7809581949939044,1.6230104017228006,0.35871653234005163,0.8094081781862488,1.4222416626538528,0.8136022235365519,Home,Home
2711804,2025-09-29,13:00,Norway Adeccoligaen  ,Odd Grenland,Aalesund FK,3.1,3.5,2.15,0.88,0/-0.5,0.93,1.85,2.5/3,1.95,D,11.0,11.0,0.6363636363636364,-19.070000000000004,0.2727272727272727,-19.070000000000004,0.8181818181818182,-0.8700000000000009,0.188775429471914,0.2727272727272727,-9.970000000000002,0.3967732199795652,0.0,9.100000000000001,0.5855486494514792,-0.6580709547799083,0.16253907972587398,-2.153037634081872,-0.9757296832079115,1.4949666793019638,1.1382687629337855,Home,Home
2711805,2025-09-29,13:00,Norway Adeccoligaen  ,Raufoss,Ranheim IL,2.7,3.5,2.38,0.78,0/-0.5,1.03,1.93,3,1.88,D,12.0,11.0,-0.3333333333333333,12.489999999999997,-0.5454545454545454,1.8200000000000005,-0.1666666666666666,20.83,0.1932574619052465,-0.5454545454545454,14.499999999999996,0.2365895936154873,10.669999999999996,6.330000000000002,0.42984705552073377,1.3015969443682012,1.9114322444203813,0.1155885110233137,0.9665625878974274,1.1860084333448875,0.9448696565229538,Home,Home
2785194,2025-09-29,13:00,Denmark Superligaen  ,Midtjylland,Randers FC,1.66,4.1,4.5,1.03,1,0.78,1.8,3,2.0,H,5.0,5.0,1.0,0.0,0.2,-34.0,1.0,20.0,0.3755282641185388,0.6,0.0,0.1176182311592532,34.0,20.0,0.493146495277792,0.1511097830954187,0.28166115802795005,,,,,Even,Even
2703086,2025-09-29,13:10,Swedish Allsvenskan  ,Osters IF,IFK Goteborg,3.2,3.6,2.05,1.0,0/-0.5,0.8,2.0,2.5/3,1.8,A,11.0,12.0,-0.5454545454545454,17.229999999999993,-0.5,15.01,-0.6363636363636364,5.5,0.1516622361413138,-0.4166666666666667,26.700000000000003,0.2800877556899882,2.2199999999999935,-21.200000000000003,0.431749991831302,2.0905103015611703,-0.12769063065687203,0.11209662938709258,0.5902062175589922,1.9784136721740777,0.7178968482158642,Home,Away
2873150,2025-09-29,14:00,Peru Primera Division  ,UTC Cajamarca,Los Chankas,2.1,3.4,3.3,1.0,0/0.5,0.8,1.8,2.5,2.0,A,14.0,14.0,0.1428571428571428,-7.110000000000003,-0.7857142857142857,12.13,0.0714285714285714,-11.400000000000002,0.2138050993040052,-0.9285714285714286,19.27,0.4535045882751561,-19.240000000000002,-30.67,0.6673096875791613,-0.35123742929287344,0.12283814979937654,1.1718544598502516,1.6795524466692273,1.523091889143125,1.5567142968698509,Away,Away
2776200,2025-09-29,14:30,Argentine Division 1  ,Barracas Central,Belgrano,2.7,3.0,2.75,0.8,0/0.5,1.0,1.9,2,1.9,D,12.0,12.0,0.0,19.99,-0.5,11.69,0.0833333333333333,12.489999999999997,0.3967732199795652,-0.8333333333333334,15.01,0.2365895936154873,8.299999999999999,-2.520000000000003,0.6333628135950525,2.5020196332543003,1.021069164894453,0.142477856482289,1.1729691366299664,2.3595417767720113,0.1518999717355134,Home,Away
2873200,2025-09-29,15:00,Bolivia Primera Division  ,The Strongest,Oriente Petrolero,1.24,5.5,9.0,0.88,1.5/2,0.93,1.83,3.5,1.83,D,9.0,11.0,1.0,15.599999999999998,-0.9090909090909092,1.8200000000000005,1.0,4.399999999999995,0.4525833436728054,-1.0,-0.8700000000000009,0.3126695474501863,13.779999999999998,5.269999999999996,0.7652528911229917,1.3744614052535125,0.7121081069301699,-0.5214945995845838,-0.0768984341151674,1.8959560048380961,0.7890065410453373,Home,Home
2877645,2025-09-29,15:00,Uruguay Primera Division  ,Racing Club Montevideo,Club Atletico Progreso,1.91,3.2,4.1,0.83,0/0.5,0.98,2.0,2.5,1.8,D,15.0,15.0,0.1333333333333333,1.309999999999997,-0.8,10.69,0.4,-0.7000000000000064,0.1268049716161809,-0.8666666666666667,10.69,0.3011663015105079,-9.380000000000003,-11.390000000000006,0.4279712731266888,1.2704894186619358,0.05624427557882308,0.5185769482465411,1.4049253690525034,0.7519124704153947,1.3486810934736804,Home,Away
2876107,2025-09-29,15:15,Iceland Premier Division  ,Stjarnan Gardabaer,Vikingur Reykjavik,3.3,3.75,1.91,0.9,-0.5,0.9,1.83,3/3.5,1.98,H,12.0,11.0,0.3333333333333333,6.669999999999996,0.8181818181818182,5.5,0.3333333333333333,31.67,0.3195073356553728,0.6363636363636364,-7.240000000000002,0.2127095754398804,1.1699999999999964,38.910000000000004,0.5322169110952533,,,-1.601471629738555,-1.7384585602281357,,,Even,Even
2837843,2025-09-29,16:00,Primera Division de Paraguay  ,Sportivo Ameliano,Deportivo Recoleta,2.2,3.3,3.1,0.78,0,1.03,2.03,2/2.5,1.78,D,17.0,17.0,-0.0588235294117647,14.15,-0.7647058823529411,34.13999999999999,-0.0588235294117647,14.669999999999998,0.2320575430148813,-0.9411764705882352,44.13,0.3096289731154949,-19.989999999999995,-29.460000000000004,0.5416865161303762,1.91182832773616,1.321073669788261,1.7017183510973508,2.695975239380508,0.21010997663880926,1.374901569592247,Home,Away
2873152,2025-09-29,16:15,Peru Primera Division  ,Sporting Cristal,Ayacucho Futbol Club,1.25,6.25,9.0,1.0,1.5/2,0.8,1.88,3/3.5,1.93,A,14.0,14.0,0.9285714285714286,12.13,-0.9285714285714286,-2.1300000000000017,1.0,-7.110000000000003,0.2914343243183204,-1.0,19.27,0.2320575430148813,14.260000000000002,-26.380000000000003,0.5234918673332016,1.2235829431430576,-0.6907061552862861,-0.12691770116443543,0.6960616677228034,1.350500644307493,1.3867678230090896,Home,Away
2873201,2025-09-29,17:30,Bolivia Primera Division  ,Always Ready,Real Oruro,1.17,6.5,12.0,0.8,2,1.0,1.93,3.5/4,1.88,D,11.0,11.0,1.0,17.229999999999993,-1.0,23.599999999999994,1.0,17.229999999999993,0.2127095754398804,-1.0,14.499999999999996,0.4901568467207234,-6.370000000000001,2.729999999999997,0.7028664221606038,0.6786985307727306,1.42607483554224,1.8240472005417447,0.42845338708105674,1.1453486697690143,0.9976214484611832,Away,Home
2745113,2025-09-29,18:00,Brazil Serie B  ,America MG,Volta Redonda,1.71,3.5,4.75,0.8,0.5,1.0,1.83,2,1.98,D,14.0,14.0,0.8571428571428571,-9.27,-0.8571428571428571,-2.1300000000000017,0.9285714285714286,5.029999999999999,0.1932574619052465,-1.0,-4.299999999999997,0.1516622361413138,-7.139999999999998,9.329999999999997,0.3449196980465603,-0.11590873359642935,-0.07689090388083893,-0.3836529097148131,-0.7779101672206682,0.26774417611838375,0.7010192633398292,Home,Home
2833094,2025-09-29,18:00,Chile Cup  ,Audax Italiano,Huachipato,1.91,3.4,3.75,0.95,0.5,0.85,1.93,2.5,1.88,H,11.0,12.0,0.2727272727272727,-7.240000000000002,-0.6666666666666666,9.2,0.1818181818181818,38.16,0.2127095754398804,-0.8333333333333334,-4.170000000000004,0.3195073356553728,-16.44,42.33,0.5322169110952533,0.11172350682743837,2.102423935230619,-0.766020485231921,-0.4223077399343927,0.8777439920593594,2.524731675165012,Home,Home
2745115,2025-09-29,18:30,Brazil Serie B  ,Avai FC,Coritiba PR,2.2,3.0,3.5,0.88,0/0.5,0.93,1.88,2,1.93,A,14.0,14.0,0.7142857142857143,-2.1300000000000017,-0.1428571428571428,10.7,1.0,10.0,0.3195073356553728,-0.6428571428571429,19.27,0.1268049716161809,-12.830000000000002,-9.27,0.4463123072715537,0.08622722976116091,-0.07689090388083893,0.022768929667133772,1.3705513031791838,0.06345830009402714,1.4474422070600228,Home,Away
2837844,2025-09-29,18:30,Primera Division de Paraguay  ,Atletico Tembetary,Olimpia Asuncion,5.0,3.5,1.7,1.0,-0.5,0.8,1.95,2.5,1.85,D,17.0,17.0,-0.2941176470588235,1.7599999999999971,0.5882352941176471,-24.700000000000003,-0.3529411764705882,-12.960000000000004,0.3876400468214041,0.7058823529411765,-22.4,0.3011663015105079,26.46,9.439999999999994,0.688806348331912,-0.15064850073669905,-1.3966507948257536,-1.3239792701288307,-1.3406735845442015,1.1733307693921315,0.055977210281552114,Home,Away
2734953,2025-09-29,19:00,Brazil Serie A  ,Sao Paulo,Ceara,1.7,3.6,5.25,0.8,0.5/1,1.05,2.1,2/2.5,1.78,D,12.0,11.0,0.75,10.0,-0.8181818181818182,35.43,1.0,18.299999999999997,0.2152125268244419,-1.0,23.599999999999994,0.2800877556899882,-25.43,-5.299999999999997,0.49530028251443015,-0.5144624465198908,-0.4570767767295495,1.0656608626219348,0.04083999148884778,1.5801233091418256,0.49791676821839725,Away,Away
2776212,2025-09-29,19:00,Argentine Division 1  ,Velez Sarsfield,Atletico Tucuman,1.86,3.3,4.33,0.95,0.5,0.85,2.0,2,1.8,D,12.0,12.0,0.8333333333333334,-15.0,-0.4166666666666667,9.2,0.9166666666666666,1.6999999999999993,0.1516622361413138,-0.75,-6.700000000000006,0.1077892874862118,-24.2,8.400000000000006,0.2594515236275256,-1.5353111852927657,-0.6427891354164423,0.6075957352647343,-0.8338333698407647,2.1429069205575,0.1910442344243224,Away,Home
2873202,2025-09-29,20:00,Bolivia Primera Division  ,Club Guabira,Academia del Balompie Boliviano,1.49,4.75,4.75,0.93,1,0.88,1.98,2.5/3,1.83,D,10.0,10.0,0.3,23.0,-1.0,0.0,0.6,30.0,0.3126695474501863,-1.0,23.0,0.2666473457440296,23.0,7.0,0.5793168931942159,0.9059857035551636,0.7089380914851169,0.012056317884116199,1.8900627515727155,0.8939293856710474,1.1811246600875986,Home,Away
2745112,2025-09-29,20:30,Brazil Serie B  ,Amazonas FC,Chapecoense SC,2.57,3.1,2.65,0.88,0,0.93,1.9,2,1.9,D,14.0,14.0,0.1428571428571428,-4.98,-0.9285714285714286,33.57,0.5,4.28,0.2666473457440296,-0.9285714285714286,12.13,0.0817937909246571,-38.55,-7.8500000000000005,0.3484411366686867,-0.12133520241139821,0.08274529928433622,1.4241542835821497,0.37578725944248653,1.545489485993548,0.2930419601581503,Away,Away
