Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H,Odd_D,Odd_A
2025-08-14,11:00,UEFA Europa League  ,KuPs,FK Rigas Futbola skola,11.665384615384614,25.675384615384612,30.72000000000001,2.15,3.6,3.0
2025-08-14,13:00,UEFA Conference League  ,Hammarby,Rosenborg BK,-13.04111111111111,-1.0522222222222197,-5.09,1.91,3.4,3.6
2025-08-14,13:00,UEFA Europa League  ,Brann,Hacken,-3.2600000000000016,-9.897777777777778,-16.38,1.57,4.33,4.75
2025-08-14,16:00,Ecuador Cup,Gualaceo SC,Vinotinto de Ecuador,-40.430952380952384,10.961428571428574,27.6,2.25,3.1,3.0
2025-08-14,18:00,Copa Sudamericana  ,Atletico Mineiro,Godoy Cruz Antonio Tomba,-22.700000000000003,2.960000000000001,16.83,1.53,4.0,6.5
2025-08-14,18:00,Copa Libertadores  ,Botafogo RJ,Liga Dep. Universitaria Quito,30.497500000000002,-0.7416666666666636,-9.299999999999997,1.38,4.75,8.5
2025-08-14,19:00,Categoria Primera A  ,Deportivo Pereira,America de Cali,38.23487179487181,15.929230769230774,-7.120000000000001,1.75,3.3,5.25
2025-08-14,20:30,Copa Sudamericana  ,Central Cordoba SDE,Lanus,-9.703636363636363,12.957272727272729,4.960000000000001,2.45,2.9,3.3
2025-08-14,20:30,Copa Libertadores  ,Clud Libertad,River Plate,-2.1022222222222187,11.921111111111113,-29.020000000000003,4.33,3.25,1.95
2025-08-14,20:35,Brazil Serie B  ,Gremio Novorizontin,Coritiba PR,-24.43090909090909,-8.02636363636364,2.5799999999999983,2.4,2.55,3.9
2025-08-14,21:10,Categoria Primera A  ,Deportivo Pasto,Envigado FC,-5.314545454545453,13.82272727272727,0.759999999999998,1.45,4.0,6.5
