Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_OP,Odd_D_OP,Odd_A_OP,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_H,MT_H,M_HT_H,MT_HT_H,M_A,MT_A,M_HT_A,MT_HT_A
2905431,2025-12-05,05:00,K League 1,Bucheon FC 1995,Suwon FC,3.1,2.9,2.25,2.88,3.1,2.25,0.78,0/-0.5,1.03,1.9,2/2.5,1.9,H,20.0,19.0,0.45,4.5,-0.4736842105263157,13.689999999999998,0.45,18.0,0.2581950208570929,-0.7368421052631579,3.689999999999999,0.2732950548744854,-9.189999999999998,14.31,0.5314900757315784,0.827079297161053,0.0,0.17635664468776815,0.0,-0.3683527176766278,-0.6686013912821189,0.1851748599510781,0.837019040369918
2858952,2025-12-05,07:00,Thai League 1 (Hilux Revo Thai League),Ratchaburi FC,Sukhothai,1.48,4.1,5.25,1.48,4.0,5.25,0.78,1,1.03,1.83,2.5/3,1.98,A,5.0,5.0,0.8,0.0,-1.0,20.0,0.6,0.0,0.0362231609697874,-1.0,40.0,0.0,-20.0,-40.0,0.0362231609697874,0.25547308279125525,0.0,0.26875624624866035,0.0,1.5639928099795737,0.0,1.1892002940279927,0.0
2895602,2025-12-05,08:30,Persian Gulf Pro League,Foolad Khozestan,Aluminium Arak,1.9,2.75,4.33,1.9,2.75,4.33,0.95,0.5,0.85,1.8,1.5,2.0,D,5.0,6.0,0.8,-34.0,-0.5,-1.690000000000003,0.6,20.0,0.0,-0.8333333333333334,-6.700000000000006,0.0967693325592168,-32.309999999999995,26.700000000000006,0.0967693325592168,0.5877384280706106,0.0,-1.7567253865033712,0.0,0.0,0.0,0.0,0.0
2828718,2025-12-05,09:00,Germany Regionalliga,Werder Bremen (Youth),Phonix Lubeck,3.0,3.75,1.95,3.0,3.75,1.95,0.8,-0.5,1.0,1.83,3/3.5,1.98,D,10.0,7.0,0.4,-7.0,0.0,7.149999999999999,0.5,13.0,0.3967732199795652,0.0,2.899999999999995,0.0256789559489747,-14.149999999999999,10.100000000000005,0.4224521759285399,-0.02119166818910173,1.098319081622458,-0.3902247419943402,0.4746619539843436,-0.32120102882430657,0.6370158901849026,-0.19481575450280147,0.503496313265875
2810004,2025-12-05,11:00,Ukrainian Premier League,Zorya,FC Karpaty Lviv,2.45,3.2,2.5,2.6,3.1,2.45,0.75,0,1.05,2.0,2.5,1.8,A,8.0,6.0,0.25,5.0,0.6666666666666666,10.0,0.375,1.25,0.2152125268244419,0.3333333333333333,26.700000000000003,0.0362231609697874,-5.0,-25.450000000000003,0.2514356877942293,-0.588872962550243,1.2012328960818481,-0.0017893965568327695,1.2012328960818481,1.258563620811154,1.112097329263066,0.030642496441053466,1.4142135623730951
2906018,2025-12-05,11:00,Algeria CUP,MC Oran,ES Mostaganem,1.83,2.7,5.0,1.4,3.5,9.0,1.05,1/1.5,0.75,1.98,2/2.5,1.83,A,6.0,5.0,1.0,-23.3,-0.8,26.0,1.0,10.0,0.1176182311592532,-0.8,6.0,0.0,-49.3,4.0,0.1176182311592532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2812974,2025-12-05,12:00,Turkey Super Lig,Galatasaray,Samsunspor,1.44,4.5,7.0,1.42,4.2,6.5,0.95,1/1.5,0.85,2.0,3,1.8,A,7.0,6.0,1.0,2.899999999999995,-0.3333333333333333,31.67,1.0,7.149999999999999,0.2504542304090258,-0.3333333333333333,48.31,0.1876128068994087,-28.770000000000007,-41.160000000000004,0.43806703730843455,0.690839509711283,-0.9805434271033779,0.5330485875410149,-1.3237839121827424,1.2582606774932865,0.0590458003259495,0.7114827079886968,1.0089343079985589
2795190,2025-12-05,12:00,Croatia 1.Division,Slaven Belupo,HNK Gorica,2.0,3.3,3.4,1.95,3.3,3.6,1.03,0.5,0.78,1.98,2.5,1.83,H,7.0,6.0,0.0,11.439999999999998,-0.8333333333333334,43.3,0.0,45.7,0.3589290901482126,-0.8333333333333334,15.01,0.1176182311592532,-31.86,30.690000000000005,0.4765473213074658,1.5583894865672654,1.126990668339356,0.29132757188991554,1.0571882624972349,0.0,0.0,0.0,0.0
2794775,2025-12-05,12:00,Czech Republic Gambrinus Liga,Teplice,Slavia Praha,7.5,3.8,1.42,7.0,3.8,1.45,1.03,-1,0.78,1.9,2.5,1.9,D,8.0,8.0,0.125,13.75,0.75,1.25,0.125,1.25,0.2152125268244419,0.75,10.0,0.0714776888580276,12.5,-8.75,0.2866902156824695,-0.30062872828302317,0.9115647058249889,0.3083421167643296,0.676831687915921,-0.7547817145335929,-0.33327036302327306,-1.3799889275643917,-1.3771342947334748
2792699,2025-12-05,12:00,Poland Liga 1,GKS Tychy,Polonia Warszawa,2.9,3.4,2.05,2.9,3.4,2.05,0.95,0/-0.5,0.85,1.8,2.5/3,2.0,A,9.0,9.0,0.1111111111111111,-11.140000000000004,-0.2222222222222222,30.03,0.1111111111111111,-14.470000000000004,0.4092698791025891,-0.1111111111111111,41.13,0.188775429471914,-41.17,-55.60000000000001,0.5980453085745031,-0.9603744375000511,0.34826284750025877,-1.05400304909693,-1.1970882219813892,1.347095603471238,-0.6675887697107775,1.0687122655630685,-0.337842397907192
