Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H,Odd_D,Odd_A
2025-08-15,05:30,NSW Premier League  ,Sydney FC (Youth),St George Saints,-3.619999999999999,10.590000000000007,1.4299999999999926,2.3,4.0,2.3
2025-08-15,06:00,K League 2  ,Jeonnam Dragons,Bucheon FC 1995,29.949999999999996,-10.109999999999996,23.200000000000003,2.35,3.5,2.63
2025-08-15,06:00,K League 2  ,Ansan Greeners FC,Chungnam Asan,2.49,-10.890000000000008,-31.900000000000002,3.9,3.4,1.85
2025-08-15,06:00,K League 1  ,Jeju SK FC,Gangwon FC,-22.510000000000005,8.299999999999997,-3.5,2.45,3.25,2.8
2025-08-15,06:00,K League 1  ,FC Anyang,Pohang Steelers,10.890000000000002,-8.299999999999997,-3.5,2.88,3.1,2.55
2025-08-15,07:35,Chinese Super League  ,Shanghai Port,Henan Football Club,14.0,-17.0,-0.5999999999999979,1.45,4.75,6.25
2025-08-15,08:00,Chinese Super League  ,Yunnan Yukun,Wuhan Three Towns,-14.530000000000005,33.400000000000006,9.000000000000004,2.3,3.9,2.7
2025-08-15,11:00,Finland Veikkausliga  ,Gnistan Helsinki,Vaasa VPS,17.500000000000004,17.120000000000005,0.8154480156409656,2.0,3.8,3.3
2025-08-15,12:30,Chile Primera B  ,Universidad de Concepcion,San Marcos de Arica,-16.25,12.5,0.4304250536488838,2.45,3.2,2.75
2025-08-15,13:00,Sweden Superettan  ,Utsiktens BK,Varbergs BoIS FC,22.260000000000005,3.330000000000002,0.7083946949981794,3.7,3.4,2.0
2025-08-15,13:00,Sweden Superettan  ,IK Oddevold,Trelleborgs FF,-12.17,11.1,0.5429727769710038,2.2,3.0,3.5
2025-08-15,13:00,Norway Eliteserien  ,Stromsgodset,Bodo Glimt,-50.0,-28.75,0.5561920849928277,7.5,5.75,1.33
2025-08-15,14:30,Argentine Division 1  ,Aldosivi Mar del Plata,Belgrano,-20.0,-27.0,0.5694098743235316,3.0,2.88,2.7
2025-08-15,14:45,Ireland FAI Cup  ,Bohemians,Sligo Rovers,-15.400000000000007,7.6399999999999935,0.4820297813388664,1.45,4.0,6.0
2025-08-15,14:45,Ireland FAI Cup  ,Cork City,Waterford United,-7.140000000000001,0.0,0.4548792316903477,2.0,3.3,3.2
2025-08-15,14:45,Ireland FAI Cup  ,Finn Harps,Bray Wanderers,-28.389999999999993,-7.599999999999991,0.5872823527375668,2.63,3.5,2.25
2025-08-15,14:45,Ireland FAI Cup  ,Kerry FC,Cobh Ramblers,-10.610000000000001,-14.02,0.4450831450071209,2.63,3.25,2.35
2025-08-15,15:00,Chile Primera B  ,Santiago Morning,Deportes Santa Cruz,24.61,37.10000000000001,0.368072461568279,2.45,3.3,2.55
2025-08-15,15:00,Chile Primera Division  ,Union Espanola,Deportes Iquique,-23.0,10.0,0.6253390949003726,1.9,4.0,3.4
2025-08-15,15:00,Primera Division de Paraguay  ,Atletico Tembetary,2 de Mayo PJC,-9.059999999999999,-33.410000000000004,0.4876849168588824,3.1,3.0,2.38
2025-08-15,16:00,Colombia Primera B  ,Inter Palmira,Leones,-10.079999999999995,11.840000000000007,0.3743597690761651,1.55,3.8,6.0
2025-08-15,16:00,Peru Primera Division  ,Atletico Grau,Comerciantes Unidos,-32.7,-24.229999999999993,0.38787704317620003,1.33,4.75,9.0
2025-08-15,16:30,Ecuador Campeonato Serie B  ,Leones del Norte,SC Imbabura,4.11,39.45,0.5171460124108394,1.55,3.6,5.75
2025-08-15,17:00,Colombia Primera B  ,Real Santander,Real Cartagena,-5.419999999999996,12.5,0.5347198624798147,3.3,3.2,2.15
2025-08-15,17:00,Categoria Primera A  ,Alianza Petrolera,Deportiva Once Caldas,20.909999999999997,18.09999999999999,0.4470356322986687,1.83,3.4,4.33
2025-08-15,17:30,Chile Primera B  ,Deportes Temuco,Santiago Wanderers,-18.53,-32.790000000000006,0.5009084608180516,2.5,3.1,2.7
2025-08-15,17:30,Primera Division de Paraguay  ,Deportivo Recoleta,General Caballero LJM,-2.0100000000000033,-8.68,0.5690299090266907,2.5,3.25,2.75
2025-08-15,18:00,Argentine Division 1  ,Instituto AC Cordoba,Club Atlético Unión,-3.3300000000000014,22.2,0.5171460124108394,2.35,3.0,3.4
2025-08-15,19:00,Brazil Serie B  ,Amazonas FC,America MG,-12.61,24.549999999999997,0.500282354349595,2.88,3.0,2.63
2025-08-15,19:00,Uruguay Primera Division  ,Boston River,CA Penarol,-3.8100000000000023,-10.049999999999999,0.39189601029078347,3.8,3.25,1.9
2025-08-15,19:30,USL Championship  ,North Carolina,Detroit City,24.880000000000003,31.250000000000004,0.620760924876315,2.05,3.2,3.3
2025-08-15,20:00,Primera Division de Ecuador  ,Delfin SC,CD El Nacional,-42.5,-28.330000000000005,0.2821975015342078,2.0,3.3,3.7
2025-08-15,20:00,Chile Primera Division  ,Union La Calera,Deportes La Serena,-40.77,14.769999999999996,0.5855486494514792,2.0,3.3,3.6
2025-08-15,20:00,Argentine Division 1  ,Racing Club,Club Atletico Tigre,-5.190000000000001,-4.4999999999999964,0.42045883493639813,1.95,3.2,4.33
2025-08-15,20:10,Argentine Division 2  ,Ferrol Carril Oeste,Colegiales,-33.78,-5.389999999999997,0.3837197791561951,1.95,2.9,4.5
2025-08-15,20:15,Colombia Primera B  ,Tigres Zipaquira,Jaguares de Cordoba,4.4900000000000055,12.989999999999998,0.2723426056296552,3.0,3.0,2.5
2025-08-15,21:00,Argentine Division 2  ,Gimnasia yTiro,Deportivo Maipu,24.62,-5.200000000000003,0.6353125654126737,2.25,2.75,3.75
2025-08-15,21:00,Peru Primera Division  ,Sport Boys,Deportivo Garcilaso,0.8499999999999961,-33.56999999999999,0.4927973311298686,1.7,3.6,4.75
