Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_OP,Odd_D_OP,Odd_A_OP,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_H,MT_H,M_HT_H,MT_HT_H,M_A,MT_A,M_HT_A,MT_HT_A
2871720,2026-01-11,01:00,Australia A-League,Melbourne City,Newcastle Jets,1.67,4.5,4.2,1.75,3.9,4.0,0.88,0.5/1,0.98,1.98,3/3.5,1.88,A,6.0,5.0,0.8333333333333334,-1.690000000000003,-0.4,6.0,1.0,-6.700000000000006,0.0967693325592168,-0.4,20.0,0.5100999795960008,-7.690000000000003,-26.700000000000006,0.6068693121552177,-0.7637188779359653,-1.0000000000000002,-0.5010438823698901,-1.0000000000000002,0.444254285727823,1.5818502534096004,-0.3534694403176952,1.1997795640962583
2826295,2026-01-11,03:30,Indonesia Super League,Persib Bandung,Persija Jakarta,2.0,3.4,3.4,2.05,3.5,3.1,0.8,0/0.5,1.0,1.93,2.5/3,1.88,D,7.0,8.0,1.0,17.099999999999998,0.25,13.75,1.0,60.0,0.0256789559489747,0.125,22.5,0.3057378545838018,3.349999999999998,37.5,0.3314168105327765,2.3413151214045222,0.3511972682106783,0.061802441127928216,-0.9565415427303742,0.7904352217084925,1.1663129674962525,0.27137989589897876,-0.5201364824613737
2826297,2026-01-11,03:30,Indonesia Super League,Arema FC,Persik Kediri,2.2,3.3,3.0,2.2,3.3,3.0,0.95,0/0.5,0.85,1.95,2.5,1.85,A,8.0,9.0,0.375,-2.5,-0.5555555555555556,14.429999999999998,0.125,-15.0,0.5291051942301385,-0.8888888888888888,-6.700000000000006,0.2666473457440296,-16.93,-8.299999999999994,0.7957525399741681,-0.562008908623994,-0.9474074289500567,0.25347680756900903,-1.4142135623730951,-0.7180174830176557,-1.1994521937921756,0.10721676967852824,1.1601185294913174
2826298,2026-01-11,03:30,Indonesia Super League,Semen Padang,Persis Solo FC,2.25,3.1,3.0,2.45,3.2,2.7,0.8,0,1.0,1.88,2.5,1.93,A,8.0,9.0,-0.25,-2.5,-0.7777777777777778,7.769999999999995,-0.125,-15.0,0.136841759461521,-0.6666666666666666,-14.470000000000004,0.2666473457440296,-10.269999999999996,-0.5299999999999958,0.4034891052055506,-1.1434869706605175,-1.3571376661868624,-0.6916761028128736,-1.3517574247877775,-0.9231492520084386,0.9863330006215337,0.27137989589897876,1.133669612016727
2815910,2026-01-11,05:30,Turkey 1. Lig,Sariyer,76 Igdir Belediye spor,2.55,3.25,2.4,2.9,3.3,2.15,0.98,0,0.83,1.88,2.5,1.93,D,9.0,9.0,0.1111111111111111,-4.884981308350689e-15,-0.1111111111111111,7.769999999999995,0.4444444444444444,-3.370000000000005,0.1205815986827429,-0.3333333333333333,4.399999999999995,0.2666473457440296,-7.77,-7.77,0.38722894442677247,-1.050394005868615,1.037062024540911,-0.5554270087451981,1.6344593945178063,0.16743660941989988,1.2252049651335204,0.31223281338977826,0.9568989205684537
2815906,2026-01-11,05:30,Turkey 1. Lig,Keciorengucu,Hatayspor,1.05,13.0,41.0,1.18,5.75,11.0,0.93,2/2.5,0.88,1.8,3.5,2.0,D,9.0,10.0,-0.1111111111111111,21.08,-0.7,-17.0,0.4444444444444444,4.399999999999995,0.2666473457440296,-0.8,-10.0,0.3126695474501863,38.08,14.399999999999995,0.5793168931942159,-0.6200039923339616,-0.9880818124583156,0.6221777039470164,-0.9880818124583162,-0.6602825824741805,0.14783442873796843,-1.2303772789077672,-1.283441015823889
2809497,2026-01-11,05:30,Spain Segunda Division RFEF,Getafe B,Real Madrid C,2.0,3.1,3.5,1.95,3.1,3.6,1.0,0.5,0.8,1.83,2,1.98,H,8.0,8.0,0.75,10.0,-0.5,13.75,0.875,35.0,0.4868654966809702,-0.625,-2.5,0.3057378545838018,-3.75,37.5,0.792603351264772,1.1491552350087382,-2.449489742783178,0.6098674753331325,-1.0232880796462966,-0.16434290666894574,0.016305898130456346,0.2633875698170621,0.8993505754338855
2808576,2026-01-11,05:30,Spain Segunda Division RFEF,CD Basconia,SD Beasain,2.15,3.3,2.88,2.25,3.2,2.8,0.75,0,1.05,2.0,2/2.5,1.8,H,7.0,8.0,-0.1428571428571428,1.4299999999999988,-0.625,17.5,-0.2857142857142857,21.39,0.0967693325592168,-0.75,10.0,0.3589290901482126,-16.07,11.39,0.45569842270742944,-0.039349223134862256,-0.7071067811865476,-0.8121745377659563,-1.414213562373095,-0.16434290666894574,0.5531640886698046,0.41938367375571056,-0.240073443870106
2910306,2026-01-11,06:00,Thai League 1,Muang Thong United,Ayutthaya United,1.8,3.9,3.2,1.67,4.1,3.5,0.95,0.5/1,0.85,2.0,3/3.5,1.8,A,7.0,7.0,0.5714285714285714,-35.71,-0.7142857142857143,7.149999999999999,0.4285714285714285,-11.400000000000002,0.2504542304090258,-0.8571428571428571,45.7,0.3589290901482126,-42.86,-57.10000000000001,0.6093833205572384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2865230,2026-01-11,06:00,Spain Segunda Division RFEF,Valencia CF Mestalla,Torrent C.F,1.95,3.3,3.3,1.83,3.25,3.8,1.03,0.5/1,0.78,1.95,2/2.5,1.85,D,8.0,9.0,0.75,1.25,-0.5555555555555556,11.099999999999996,0.875,-2.5,0.2504542304090258,-0.7777777777777778,-17.800000000000004,0.2666473457440296,-9.849999999999996,15.300000000000004,0.5171015761530554,-1.1479542219074643,2.23606797749979,-0.36830015217433343,1.8586866151472206,-0.6548765372796832,-0.19159873863919583,0.05757452825698053,-0.4992549219118995
