Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-07-27,NSW Premier League  ,St George Saints,Blacktown City Demons,7.42,2.47,22.04,3,2,3.4,3.6,1.85
2025-07-27,NSW Premier League  ,Rockdale City Suns,Sydney United,5.08,-9.843333333,25.12,0,0,1.73,3.9,3.6
2025-07-27,NSW Premier League  ,Central Coast Mariners (Youth),Sydney FC (Youth),6.136515152,14.01742424,4.36,0,3,3.2,3.75,1.9
2025-07-27,Australia FFA Cup  ,Perth Glory,Wellington Phoenix,-2.219230769,-13.81461538,12.9,1,1,1.75,4,3.7
2025-07-27,Chinese Football Association Yi League  ,Chengdu Rongcheng B,Wenzhou Professional,-31.76388889,-1.775,-15.09,3,0,1.7,3.4,4.33
2025-07-27,Chinese Football Association Yi League  ,Guangdong Mingtu,Kunming City Star,-4.792222222,-20.03666667,20,1,1,2.05,3,3.4
2025-07-27,Chinese Football Association Yi League  ,Quanzhou Yassin,Guangxi Lanhang,-20.52888889,-21.47777778,2.1,1,0,1.8,3.2,4
2025-07-27,Chinese Football Association Yi League  ,Guizhou Zhucheng Jingji FC,Shenzhen 2028,-29.74,-38.03888889,-24.3,0,1,2.25,3.1,2.88
2025-07-27,Chinese Football Association Yi League  ,Guangxi Hengchen,Guangzhou dandelion FC,-12.51428571,-15.48,-5.7,1,0,1.45,3.75,6.25
2025-07-27,Chinese Football Association Yi League  ,Ganzhou Ruishi,Wuhan Three Towns B,-1.724603175,-0.821428571,-8.9,1,0,4,3,1.9
2025-07-27,K League 1  ,Gangwon FC,Ulsan HD FC,8.162727273,-0.036363636,-11.9,2,2,3.4,3.4,2.1
2025-07-27,K League 1  ,Daegu FC,Pohang Steelers,2.750909091,-2.690909091,-3.5,0,1,3.75,3.6,1.95
2025-07-27,K League 2  ,Suwon Samsung Bluewings,Seoul E-Land FC,-5.393636364,10.91454545,13.1,0,2,1.8,4,3.8
2025-07-27,K League 2  ,Seongnam FC,Jeonnam Dragons,14.53333333,-7.44,-7.14,2,2,2.88,3.3,2.45
2025-07-27,J1 League  ,Urawa Red Diamonds,Avispa Fukuoka,2.474545455,29.04333333,-12.51,0,0,2.25,3.2,3.25
2025-07-27,K League 2  ,Incheon United,Ansan Greeners FC,-21.45727273,13.74090909,-17.3,4,2,1.33,4.75,8.5
2025-07-27,K League 1  ,Daejeon Citizen,FC Seoul,2.720909091,11.52893939,-54.6,0,1,3.5,3.4,2.15
2025-07-27,Chinese Football Association Jia League  ,Dalian Kun City,Qingdao Red Lions,-17.99194444,11.64027778,-5.94,2,1,1.5,3.8,5.25
2025-07-27,Chinese Super League  ,Qingdao Manatee,Tianjin Tigers,-29.835,1.8625,-10.9,2,0,3.3,3.3,2.25
2025-07-27,Sweden Superettan  ,Kalmar,Utsiktens BK,-37.325,-4.345,3.2,1,0,1.3,5,8
2025-07-27,Chinese Super League  ,Changchun Yatai,Dalian Zhixing,-38.55444444,0.585833333,-38,0,2,2.7,3.4,2.55
2025-07-27,Chinese Football Association Jia League  ,Guangxi Pingguo Football Club,Suzhou Dongwu,-10.2275,-14.41833333,10.2,0,0,3.6,3.4,1.83
2025-07-27,Chinese Football Association Jia League  ,Guangdong GZ-Power,Dingnan Ganlian,-31.25928571,-6.031071429,-14.7,0,1,1.67,3.5,4.2
2025-07-27,Chinese Football Association Jia League  ,Nantong Zhiyun,Nanjing City,3.7875,0.075,-12.04,0,1,2.15,2.88,3.25
2025-07-27,Chinese Super League  ,Zhejiang Professional FC,Wuhan Three Towns,7.65,11.4,43.66,3,2,1.62,4.2,5
2025-07-27,Chinese Super League  ,Shanghai Shenhua,Henan Football Club,15.125,-3.625,25.9,3,2,1.4,5,7
2025-07-27,Latvian Higher League  ,BFC Daugavpils,Jelgava,32.57833333,25.29409091,-56.87,2,0,2.25,3.3,2.8
2025-07-27,Chinese Super League  ,Shandong Taishan,Meizhou Hakka,-18.5875,-3.5875,-7.5,3,0,1.36,5.75,7
2025-07-27,Swedish Allsvenskan  ,AIK Solna,Osters IF,-8.431111111,37.84603175,-24.4,0,0,1.48,3.9,7.5
2025-07-27,Swedish Allsvenskan  ,Hacken,Djurgardens,-2.696944444,3.7875,7.6,1,6,3.25,3.6,2.1
2025-07-27,Sweden Superettan  ,Falkenberg,Landskrona BoIS,0.0375,6.812142857,28.2,1,1,2.15,3.4,3.1
2025-07-27,Sweden Superettan  ,Orgryte,Ostersunds FK,-16.58444444,24.15638889,-7.5,6,0,1.8,3.75,3.9
2025-07-27,Lithuania - 1.Division  ,Suduva,Dziugas Telsiai,-2.887727273,5.666666667,-23.56,2,3,1.7,3.4,4.75
2025-07-27,Finland Veikkausliga  ,Inter Turku,SJK Seinajoen,38.24166667,11.35,34,4,1,1.57,4.2,4.5
2025-07-27,Latvian Higher League  ,FK Liepaja,FK Auda Riga,25.56910256,12.53166667,-7.1,2,0,2.55,3.3,2.5
2025-07-27,Swedish Allsvenskan  ,IFK Varnamo,Hammarby,20.94916667,-15.1,9,2,3,4.5,3.7,1.73
2025-07-27,Swedish Allsvenskan  ,Mjallby AIF,IK Sirius FK,-19.92555556,20.37166667,5.82,2,1,1.57,4.2,5.25
2025-07-28,Finland Veikkausliga  ,Gnistan Helsinki,HJK Helsinki,2.168333333,-4.816666667,27.6,2,4,4.2,3.5,1.75
2025-07-27,Chile Primera Division  ,O.Higgins,Colo Colo,7.698611111,32.97642857,-16,1,1,3.2,3.25,2.2
2025-07-27,Argentine Division 2  ,Arsenal de Sarandi,CA San Miguel,12.07833333,-0.472727273,0.8,5,2,3.9,2.7,2.3
2025-07-27,Primera Division de Ecuador  ,Mushuc Runa,Tecnico Universitario,-16.22272727,6.037777778,9.81,0,1,1.91,3.4,3.8
2025-07-27,Argentine Division 2  ,Alvarado Mar del Plata,Ferrol Carril Oeste,7.575,0.127272727,26.43,3,0,2.9,2.7,2.88
2025-07-27,Peru Primera Division  ,FBC Melgar,Cusco FC,-20.84,-39.88333333,-10,0,2,1.57,3.75,5.75
2025-07-27,Argentine Division 2  ,Deportivo Maipu,Club Atletico Guemes,11.65439394,-3.679090909,24.9,1,1,2.25,2.63,4.2
2025-07-27,Argentine Division 2  ,Atletico Mitre de Santiago del Estero,Central Norte Salta,-19.84666667,11.07454545,-15.22,0,2,2,3.2,4.1
2025-07-27,Argentine Division 2  ,Temperley,Gimnasia Jujuy,1.05030303,-22.43272727,6.53,1,0,2.88,2.38,3.4
2025-07-27,Primera Division de Paraguay  ,Sportivo Ameliano,Olimpia Asuncion,35.23901099,28.37102564,-1.2,1,1,3.4,3,2.2
2025-07-27,Argentine Division 2  ,Defensores Unidos,Agropecuario de Carlos Casares,-33.59727273,-26.43484848,68.5,3,2,3.25,3.2,2.25
2025-07-27,Argentine Division 1  ,Talleres Cordoba,Godoy Cruz Antonio Tomba,-38.84,-33.16333333,6,0,0,1.85,3,5
2025-07-27,Brazil Serie A  ,Sao Paulo,Fluminense RJ,-18.45222222,8.381428571,-6.33,3,1,2.25,3,3.5
2025-07-27,Brazil Serie A  ,Cruzeiro,Ceara,3.668333333,36.7275,31.2,1,2,1.44,4.2,8
2025-07-27,Argentine Division 1  ,Gimnasia La Plata,Independiente,0.938181818,-8.814444444,-6.53,1,0,3.7,3,2.15
2025-07-27,Chile Primera B  ,Rangers Talca,CD Copiapo S.A.,-9.953333333,-37.425,-34.14,0,0,2.55,3.2,2.63
2025-07-27,Chile Primera Division  ,Univ Catolica,Coquimbo Unido,-8.436388889,5.751428571,10.3,0,3,2.63,2.9,2.88
2025-07-27,Colombia Primera B  ,Bogota FC,Atletico FC,-16.84583333,-13.6525,9,2,0,2.1,3.1,3.2
2025-07-27,Argentine Division 2  ,Estudiantes Rio Cuarto,Nueva Chicago,-19.84333333,-16.10818182,9.78,0,1,1.95,2.75,5.25
2025-07-27,Chile Primera Division  ,Palestino,Union Espanola,-26.1375,43.2247619,-9.3,1,0,1.8,3.6,4.1
2025-07-27,Brazil Serie B  ,Volta Redonda,Vila Nova,-19.14666667,16.23027778,-15.34,2,1,2.2,3.1,3.4
2025-07-27,Brazil Serie B  ,Coritiba PR,Amazonas FC,13.59888889,45.2,5.82,1,1,1.48,3.9,7.5
2025-07-27,Argentine Division 2  ,Chaco For Ever,Almirante Brown,-8.044545455,36.17,22.5,2,1,1.85,2.8,6
2025-07-27,Peru Primera Division  ,Comerciantes Unidos,Deportivo Garcilaso,-8.93,-36.63111111,4,0,0,3,3.3,2.25
2025-07-27,Primera Division de Ecuador  ,Macara,Universidad Catolica,0.003333333,-12.21636364,1.48,1,4,3.3,3.3,2.15
2025-07-27,Primera Division de Colombiano-Apertura  ,Envigado FC,La Equidad,19.13089744,10.9,27.45,1,1,2.1,3.1,3.75
2025-07-27,Primera Division de Paraguay  ,Atletico Tembetary,Guarani CA,-32.27230769,-40.02,15.93,0,1,2.63,3,2.55
2025-07-27,Brazil Serie B  ,America MG,Atletico Paranaense,-26.09111111,-4.7275,42.7,2,2,2.3,3.2,3.1
2025-07-27,Brazil Serie A  ,Bahia,Juventude,49.1375,59.65,24.4,3,0,1.33,4.75,9.5
2025-07-27,Argentine Division 1  ,CA Huracan,Boca Juniors,-14.50333333,4.14959596,-4.28,1,0,2.8,2.9,2.8
2025-07-27,Brazil Serie A  ,Internacional RS,Vasco da Gama,-26.38678571,36.74571429,6.9,1,1,1.62,3.7,6
2025-07-27,Brazil Serie B  ,Atletico Clube Goianiense,Chapecoense SC,-44.84,-3.182222222,-40,0,0,1.9,3.2,4.33
2025-07-27,Chile Primera Division  ,Deportes Iquique,Audax Italiano,-11.2,-21.49857143,15.7,1,0,3,2.88,2.55
2025-07-27,Peru Primera Division  ,Alianza Lima,Alianza Atletico Sullana,-14.83,-9.891111111,-46,1,1,1.42,4.1,8
2025-07-27,Primera Division de Ecuador  ,Deportivo Cuenca,Independiente del Valle,-18.63712121,-19.83272727,21.46,0,3,3.1,3.2,2.25
2025-07-27,Primera Division de Colombiano-Apertura  ,Union Magdalena,Dep.Independiente Medellin,-19.62159091,-36.94333333,-24.72,0,2,5.5,3.6,1.67
2025-07-27,Brazil Serie A  ,Flamengo,Atletico Mineiro,0.092222222,33.8625,-18.7,1,0,1.45,4,7.5
2025-07-27,Argentine Division 1  ,River Plate,San Lorenzo,-23.57454545,-19.45,-14.84,0,0,1.6,3.6,6.25
2025-07-27,Primera Division de Colombiano-Apertura  ,Fortaleza F.C,Alianza Petrolera,-2.356666667,8.299090909,3.15,2,2,2.2,3.1,3.4
