Date,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Goals_H_FT,Goals_A_FT,Odd_H,Odd_D,Odd_A
2025-08-08,NSW Premier League  ,Manly United,Sydney Olympic,-4.592307692,-0.640549451,-4.4,1,5,3.8,3.25,1.83
2025-08-08,K League 1  ,Jeonbuk Hyundai Motors,FC Anyang,-14.86666667,12.72333333,13.1,2,1,1.57,3.9,5
2025-08-08,K League 1  ,FC Seoul,Daegu FC,10.45681818,15.23166667,42.4,2,2,1.4,4.5,7
2025-08-08,Chinese Super League  ,Dalian Zhixing,Chengdu Rongcheng FC,-1.895555556,20.00666667,-5.28,0,2,6,4.2,1.5
2025-08-08,Chinese Super League  ,Henan Football Club,Shenzhen Xinpengcheng,16.73888889,6.76,70.3,4,1,1.42,4.75,6.5
2025-08-08,Finland Veikkausliga  ,Inter Turku,AC Oulu,0.122222222,20.21444444,25.9,3,2,1.33,6.25,5.75
2025-08-08,Lithuania - 1.Division  ,FK Panevezys,Dziugas Telsiai,-27.325,-15.31333333,-9.62,0,1,2,3.3,3.3
2025-08-08,Iceland Division 1  ,Fylkir,Thor Akureyri,-35.59071429,-52.7475,23.7,1,2,2.38,3.8,2.3
2025-08-08,Ireland First Division  ,UC Dublin,Wexford (Youth),-19.35589744,-38.53217949,-21.9,1,0,1.85,3.5,3.7
2025-08-08,Ireland First Division  ,Dundalk,Athlone Town,-10.93615385,9.763846154,-18.17,6,1,1.27,5.25,8.5
2025-08-08,Ireland First Division  ,Kerry FC,Finn Harps,12.55166667,-2.431666667,-3.5,0,1,2.7,3.25,2.45
2025-08-08,Ireland First Division  ,Bray Wanderers,Cobh Ramblers,9.232307692,20.79769231,35.9,0,2,2.63,3.6,2.35
2025-08-08,Ireland Premier Division  ,Derry City,Cork City,-0.95974359,16.74230769,39.36,0,0,1.36,4.33,10
2025-08-08,Ireland Premier Division  ,Drogheda United,Waterford United,21.6325641,21.45333333,15.09,0,0,2.15,3.4,3.25
2025-08-08,Chile Primera Division  ,Palestino,Deportes Iquique,-4.221944444,28.71166667,7.6,2,0,1.57,4,5.75
2025-08-08,Primera Division de Paraguay  ,2 de Mayo PJC,Sportivo Trinidense,11.83659341,-14.99802198,-21.94,0,2,2.8,3,2.7
2025-08-08,Bolivia Primera Division  ,Universitario De Vinto,Oriente Petrolero,30.125,11.3875,40.7,2,1,1.8,3.5,3.9
2025-08-08,Iceland Division 1  ,HK Kopavogs,Keflavik,-4.29,-8.52,17.1,3,0,2.5,3.6,2.3
2025-08-08,Iceland Division 1  ,Grindavik,Leiknir Reykjavik,-1.334285714,-18.53357143,-5.9,3,2,2.7,3.75,2.1
2025-08-08,Iceland Division 1  ,IR Reykjavik,Fjolnir,-4.901071429,9.588928571,11.21,3,3,1.4,4.5,5.5
2025-08-08,Iceland Division 1  ,UMF Njardvik,UMF Selfoss,-2.185357143,30.45464286,-8.07,2,1,1.33,5,6.25
2025-08-08,Peru Primera Division  ,Comerciantes Unidos,Cienciano,-18.74272727,-21.64545455,-19.4,1,1,2.8,3.2,2.45
2025-08-08,Colombia Primera B  ,Boca Juniors De Cali,Real Cartagena,9.217727273,-19.72386364,-16.7,2,2,3.9,3.4,1.9
2025-08-08,Primera Division de Colombiano-Apertura  ,Atletico Nacional Medellin,Alianza Petrolera,13.32333333,-13.67666667,16.1,3,0,1.36,4.5,9
2025-08-08,Primera Division de Paraguay  ,Cerro Porteno,FC Nacional Asuncion,-14.85571429,2.237142857,9.86,0,0,1.75,3.4,4.75
2025-08-08,Brazil Serie B  ,Ferroviaria SP,Amazonas FC,3.471111111,6.845555556,1.38,2,1,1.95,3.2,4
2025-08-08,Argentine Division 1  ,Club Atletico Tigre,CA Huracan,-17.57323232,11.90222222,10.63,0,1,2.55,2.9,3.1
2025-08-08,Bolivia Primera Division  ,Academia del Balompie Boliviano,Real Oruro,-47.16444444,-21.33444444,2.82,1,2,1.85,3.4,3.6
2025-08-08,Uruguay Primera Division  ,Montevideo City Torque,Boston River,9.07,-17.89,0,1,1,2.15,3.3,3.25
2025-08-08,Chile Primera B  ,San Luis Quillota,CD Magallanes,-4.976666667,49.99333333,-31,0,1,2,3.1,3.6
2025-08-08,Argentine Division 1  ,Newells Old Boys,Central Cordoba SDE,10.07888889,0.122222222,-0.84,1,1,2.25,3.1,3.5
2025-08-08,Primera Division de Ecuador  ,Orense SC,Universidad Catolica,26.60545455,22.07287879,25.8,1,1,2.35,3.3,2.9
2025-08-08,Argentine Division 1  ,Lanus,Talleres Cordoba,-26.59222222,-6.601111111,-29.75,1,0,2.2,3,3.8
2025-08-08,Primera Division de Colombiano-Apertura  ,Millonarios,Deportivo Cali,-19.44428571,-3.407619048,-21.66,3,3,1.57,4,5.5
2025-08-08,Brazil Serie B  ,Coritiba PR,Chapecoense SC,-12.65111111,12.02,-25.09,0,0,1.7,3.4,5.25
