Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Diff_HT_P,Diff_Power,OU_Total
28-07-2025,12:30,Lithuania - 1.Division  ,FK Panevezys,Banga Gargzdai,1.73,3.3,4.5,-24.38272727272727,-12.326363636363634,26.69
27-07-2025,12:30,Chile Primera Division  ,O.Higgins,Colo Colo,3.2,3.25,2.2,20.67964285714285,32.97642857142857,24.99
27-07-2025,12:35,Argentine Division 2  ,Arsenal de Sarandi,CA San Miguel,3.9,2.7,2.3,4.459090909090907,-0.4727272727272728,21.96
27-07-2025,14:00,Primera Division de Ecuador  ,Mushuc Runa,Tecnico Universitario,1.91,3.4,3.8,-8.879999999999999,6.03777777777778,47.0
27-07-2025,14:00,Argentine Division 2  ,Alvarado Mar del Plata,Ferrol Carril Oeste,2.9,2.7,2.88,0.0518181818181791,0.12727272727272787,46.14
27-07-2025,14:00,Peru Primera Division  ,FBC Melgar,Cusco FC,1.57,3.75,5.75,-13.164444444444449,-39.88333333333335,28.050000000000004
27-07-2025,14:30,Argentine Division 2  ,Deportivo Maipu,Club Atletico Guemes,2.25,2.63,4.2,4.146363636363635,-3.679090909090908,41.85
27-07-2025,14:30,Argentine Division 2  ,Atletico Mitre de Santiago del Estero,Central Norte Salta,2.0,3.2,4.1,-13.462727272727271,11.074545454545452,5.370000000000001
27-07-2025,14:30,Argentine Division 2  ,Temperley,Gimnasia Jujuy,2.88,2.38,3.4,-7.491818181818179,-22.43272727272728,43.6
27-07-2025,14:30,Primera Division de Paraguay  ,Sportivo Ameliano,Olimpia Asuncion,3.4,3.0,2.2,45.31397435897435,28.371025641025643,22.78
27-07-2025,14:30,Argentine Division 2  ,Defensores Unidos,Agropecuario de Carlos Casares,3.25,3.2,2.25,-33.597272727272724,-26.434848484848487,91.99000000000001
27-07-2025,15:00,Argentine Division 1  ,Talleres Cordoba,Godoy Cruz Antonio Tomba,1.85,3.0,5.0,-33.17444444444445,-33.163333333333334,42.47999999999999
27-07-2025,15:00,Brazil Serie A  ,Sao Paulo,Fluminense RJ,2.25,3.0,3.5,-32.83535714285714,8.381428571428575,8.579999999999995
27-07-2025,15:00,Brazil Serie A  ,Cruzeiro,Ceara,1.44,4.2,8.0,15.866428571428575,36.727500000000006,51.86
27-07-2025,15:00,Copa LFPB  ,San Antonio Bulo Bulo,San Jose de Oruro,1.73,3.9,3.6,11.350000000000003,24.220000000000006,32.4
27-07-2025,15:00,Argentine Division 1  ,Gimnasia La Plata,Independiente,3.7,3.0,2.15,-8.475555555555557,-8.814444444444447,26.68
27-07-2025,15:00,Chile Primera B  ,Rangers Talca,CD Copiapo S.A.,2.55,3.2,2.63,-11.175,-37.425000000000004,4.450000000000003
27-07-2025,15:00,Chile Primera Division  ,Univ Catolica,Coquimbo Unido,2.63,2.9,2.88,2.52392857142857,5.751428571428569,28.14
27-07-2025,15:00,Colombia Primera B  ,Bogota FC,Atletico FC,2.1,3.1,3.2,-29.95857142857143,-13.652500000000002,45.58
27-07-2025,15:00,Argentine Division 2  ,Estudiantes Rio Cuarto,Nueva Chicago,1.95,2.75,5.25,-13.456363636363637,-16.108181818181816,46.14
27-07-2025,15:00,Chile Primera Division  ,Palestino,Union Espanola,1.8,3.6,4.1,-17.03,43.2247619047619,32.8
27-07-2025,15:00,Brazil Serie B  ,Volta Redonda,Vila Nova,2.2,3.1,3.4,-32.211666666666666,16.23027777777778,-12.530000000000003
27-07-2025,15:00,Brazil Serie B  ,Coritiba PR,Amazonas FC,1.48,3.9,7.5,3.9375,45.2,31.399999999999995
27-07-2025,15:30,Argentine Division 2  ,Chaco For Ever,Almirante Brown,1.85,2.8,6.0,0.14000000000000057,36.17,43.0
27-07-2025,16:15,Peru Primera Division  ,Comerciantes Unidos,Deportivo Garcilaso,3.0,3.3,2.25,-9.912222222222221,-36.63111111111111,43.589999999999996
27-07-2025,16:30,Primera Division de Ecuador  ,Macara,Universidad Catolica,3.3,3.3,2.15,8.226363636363635,-12.216363636363635,21.660000000000004
27-07-2025,17:00,Primera Division de Colombiano-Apertura  ,Envigado FC,La Equidad,2.1,3.1,3.75,28.65924242424242,10.899999999999995,63.89
27-07-2025,17:00,Primera Division de Paraguay  ,Atletico Tembetary,Guarani CA,2.63,3.0,2.55,-27.471666666666664,-40.02000000000001,45.11000000000001
27-07-2025,17:15,Copa LFPB  ,Real Tomayapo,The Strongest,3.7,3.5,1.8,8.923571428571424,-11.2375,38.489999999999995
27-07-2025,17:30,Brazil Serie B  ,America MG,Atletico Paranaense,2.3,3.2,3.1,-18.492500000000003,-4.7275000000000045,65.13
27-07-2025,17:30,Brazil Serie A  ,Bahia,Juventude,1.33,4.75,9.5,43.255714285714284,59.650000000000006,35.01
27-07-2025,17:30,Argentine Division 1  ,CA Huracan,Boca Juniors,2.8,2.9,2.8,-16.11393939393939,4.1495959595959615,27.33
27-07-2025,17:30,Brazil Serie A  ,Internacional RS,Vasco da Gama,1.62,3.7,6.0,-16.79095238095239,36.745714285714286,54.019999999999996
27-07-2025,18:00,Colombia Primera B  ,Real Cartagena,Leones,1.4,4.2,6.5,6.285555555555558,8.20555555555556,49.35
27-07-2025,18:00,Brazil Serie B  ,Atletico Clube Goianiense,Chapecoense SC,1.9,3.2,4.33,-39.89444444444445,-3.1822222222222223,4.450000000000001
27-07-2025,18:00,Chile Primera Division  ,Deportes Iquique,Audax Italiano,3.0,2.88,2.55,-12.782857142857143,-21.498571428571427,58.54
27-07-2025,19:00,Peru Primera Division  ,Alianza Lima,Alianza Atletico Sullana,1.42,4.1,8.0,-6.493333333333332,-9.89111111111111,-6.450000000000005
27-07-2025,19:00,Primera Division de Ecuador  ,Deportivo Cuenca,Independiente del Valle,3.1,3.2,2.25,-11.61545454545455,-19.832727272727272,40.63
27-07-2025,19:20,Primera Division de Colombiano-Apertura  ,Union Magdalena,Dep.Independiente Medellin,5.5,3.6,1.67,-13.996666666666666,-36.94333333333333,12.9
27-07-2025,19:30,Brazil Serie A  ,Flamengo,Atletico Mineiro,1.45,4.0,7.5,11.3625,33.862500000000004,20.019999999999996
27-07-2025,19:30,Argentine Division 1  ,River Plate,San Lorenzo,1.6,3.6,6.25,-17.490000000000006,-19.45,21.930000000000003
27-07-2025,21:20,Primera Division de Colombiano-Apertura  ,Fortaleza F.C,Alianza Petrolera,2.2,3.1,3.4,-10.702727272727262,8.29909090909091,15.600000000000001
